claim_text,predicted_winner,scope,state,source_type,hedged,attributed_to,page_id,source,arm,window,window_kind,cycle,newspaper_title,lccn,date,publisher_state,predicted_norm,correct
Indicates Hughes's Election.,Hughes,national,,editorial_opinion,False,,https://www.nytimes.com/1916/09/12/archives/indicates-hughess-election.html,nyt,elections,1916,,1916,The New York Times,,1916-09-12,,Hughes,False
Southwest for Wilson; McLemore says Mexican policy has made only New Mexico doubtful.,Wilson,state,New Mexico,correspondent_analysis,True,McLemore,https://www.nytimes.com/1916/09/12/archives/southwest-for-wilson-mclemore-says-mexican-policy-has-made-only-new.html,nyt,elections,1916,,1916,The New York Times,,1916-09-12,,Wilson,
Leaders of both parties declare organization choices will win today,organization choices,state,,editorial_opinion,False,leaders of both parties,https://www.nytimes.com/1920/09/14/archives/primary-victories-for-regulars-seen-leaders-of-both-parties-declare.html,nyt,elections,1920,,1920,The New York Times,,1920-09-14,,Organization Choices,
Wadsworth victory predicted,Wadsworth,state,,editorial_opinion,False,,https://www.nytimes.com/1920/09/14/archives/primary-victories-for-regulars-seen-leaders-of-both-parties-declare.html,nyt,elections,1920,,1920,The New York Times,,1920-09-14,,Wadsworth,
"Judge Marx of Cincinnati says Cox will carry Ohio by 75,000 votes.",Cox,state,Ohio,correspondent_analysis,False,Judge Marx,https://www.nytimes.com/1920/09/03/archives/sees-cox-winner-in-west-judge-marx-of-cincinnati-says-he-will-carry.html,nyt,elections,1920,,1920,The New York Times,,1920-09-03,,Cox,
"Republican National Chairman doubts if Progressives will carry even Wisconsin, predicting La Follette will lose the Northwest.",Republican,state,Wisconsin,correspondent_analysis,True,Republican National Chairman,https://www.nytimes.com/1924/09/05/archives/sees-la-follette-losing-northwest-republican-national-chairman.html,nyt,elections,1924,,1924,The New York Times,,1924-09-05,,Republican,
Thomas J. Spellacy says Democrats will carry New England and cut heavily into Vermont Republican vote.,Democratic Party,state,Vermont,correspondent_analysis,True,Thomas J. Spellacy,https://www.nytimes.com/1924/09/06/archives/both-sides-claim-new-england-vote-thomas-j-spellacy-says-democrats.html,nyt,elections,1924,,1924,The New York Times,,1924-09-06,,Democratic Party,
Republicans have only to hold their lead and pile up the score in the election.,Republican,national,,correspondent_analysis,True,Moses,https://www.nytimes.com/1924/09/09/archives/moses-brings-word-of-coolidge-gains-tells-president-republicans.html,nyt,elections,1924,,1924,The New York Times,,1924-09-09,,Republican,True
Senator Ladd insists that 'Fighting Bob' La Follette will sweep the Northwest in the upcoming election.,La Follette,state,Northwest,correspondent_analysis,False,Senator Ladd,https://www.nytimes.com/1924/09/01/archives/asserts-northwest-wants-la-follette-senator-ladd-insists-that.html,nyt,elections,1924,,1924,The New York Times,,1924-09-01,,La Follette,
"Davis is expected to gain and party leaders are hopeful as to Illinois, Iowa, Indiana, Kansas, Ohio and Missouri.",Davis,state,,correspondent_analysis,True,party leaders,https://www.nytimes.com/1924/09/03/archives/chances-for-davis-in-west-likened-to-wilsons-in-1912-he-is-told-in.html,nyt,elections,1924,,1924,The New York Times,,1924-09-03,,Davis,
Oklahoma Senator says the Republicans will sweep Oklahoma in the upcoming election.,Republican,state,Oklahoma,correspondent_analysis,False,Oklahoma Senator Harreld,https://www.nytimes.com/1924/09/05/archives/harreld-visits-coolidge-oklahoma-senator-says-the-republicans-will.html,nyt,elections,1924,,1924,The New York Times,,1924-09-05,,Republican,
Klan puts Coolidge ahead in Colorado; Republican leaders count on Order's support to win on electors.,Coolidge,state,Colorado,correspondent_analysis,False,,https://www.nytimes.com/1924/10/02/archives/klan-puts-coolidge-ahead-in-colorado-republican-leaders-count-on.html,nyt,elections,1924,,1924,The New York Times,,1924-10-02,,Coolidge,
"Put Coolidge in lead in Ohio; most politicians think Davis is second, with La Follette close up.",Coolidge,state,Ohio,correspondent_analysis,True,most politicians,https://www.nytimes.com/1924/10/13/archives/put-coolidge-in-lead-in-ohio-most-politicians-think-davis-is-second.html,nyt,elections,1924,,1924,The New York Times,,1924-10-13,,Coolidge,
Senators favored to win the series; 6 to 5 offered on final outcome,Senators,state,Washington,betting_odds,False,,https://www.nytimes.com/1924/10/06/archives/senators-favored-to-win-the-series-6-to-5-offered-on-final-outcome.html,nyt,elections,1924,,1924,The New York Times,,1924-10-06,,Senators,
Senators favored to win the title; Washington the 11 to 10 choice now in betting circles in New York.,Republican,national,,betting_odds,True,,https://www.nytimes.com/1924/10/10/archives/senators-favored-to-win-the-title-washington-the-11-to-10-choice.html,nyt,elections,1924,,1924,The New York Times,,1924-10-10,,Republican,True
predicts that J W Davis will carry Missouri,Davis,state,Missouri,correspondent_analysis,False,,https://www.nytimes.com/1924/09/04/archives/davis-wants-west-to-know-his-face-tells-chicagoans-he-is-a-human.html,nyt,elections,1924,,1924,The New York Times,,1924-09-04,,Davis,
"Republican victory indicated in Maine; some predict 50,000 plurality in state election tomorrow",Republican,state,Maine,editorial_opinion,True,,https://www.nytimes.com/1928/09/09/archives/republican-victory-indicated-in-maine-state-election-tomorrow-is.html,nyt,elections,1928,,1928,The New York Times,,1928-09-09,,Republican,
"Victory for Hoover; Administration's record will hold Republicans loyal, says Navy Secretary.",Hoover,national,,editorial_opinion,False,Navy Secretary,https://www.nytimes.com/1928/09/11/archives/victory-for-hoover-administrations-record-will-hold-republicans.html,nyt,elections,1928,,1928,The New York Times,,1928-09-11,,Hoover,True
"Republican chiefs hail Maine as sign of Hoover victory, with largest gubernatorial majority in the state's history, indicating a national test and clear result in November.",Hoover,national,,correspondent_analysis,False,Republican chiefs,https://www.nytimes.com/1928/09/12/archives/republican-chiefs-hail-maine-as-sign-of-hoover-victory-national.html,nyt,elections,1928,,1928,The New York Times,,1928-09-12,,Hoover,True
"Heflin sees Hoover landslide, Republicans made great drive, and the vote was on national lines with a dwindling Democratic vote.",Hoover,national,,correspondent_analysis,False,Heflin,https://www.nytimes.com/1928/09/12/archives/republican-chiefs-hail-maine-as-sign-of-hoover-victory-national.html,nyt,elections,1928,,1928,The New York Times,,1928-09-12,,Hoover,True
State Chairman predicts Smith victory in New Jersey,Smith,state,New Jersey,correspondent_analysis,False,State Chairman,https://www.nytimes.com/1928/09/02/archives/gov-ritchie-to-aid-jersey-democrats-scheduled-for-campaign-talks.html,nyt,elections,1928,,1928,The New York Times,,1928-09-02,,Smith,
"Hoover's majority in Ohio is estimated by political observers from 250,000 to 650,000.",Hoover,state,Ohio,correspondent_analysis,True,political observers,https://www.nytimes.com/1928/10/25/archives/republican-trend-strong-in-ohio-hoovers-majority-is-estimated-by.html,nyt,elections,1928,,1928,The New York Times,,1928-10-25,,Hoover,
"W.L. Ward says Hoover will have 40,000 margin and carry whole ticket in Westchester County.",Hoover,state,New York,correspondent_analysis,False,W.L. Ward,https://www.nytimes.com/1928/11/04/archives/both-sides-aver-westchester-won-wl-ward-says-hoover-will-have-40000.html,nyt,elections,1928,,1928,The New York Times,,1928-11-04,,Hoover,
"Democrats see 2,500 lead and predict Roosevelt will run ahead of Smith in Westchester County.",Democrats,state,New York,correspondent_analysis,True,Democrats,https://www.nytimes.com/1928/11/04/archives/both-sides-aver-westchester-won-wl-ward-says-hoover-will-have-40000.html,nyt,elections,1928,,1928,The New York Times,,1928-11-04,,Democrats,
"Hearst sees Smith defeated as a wet; calls Prohibition false issue, declaring people are not ready for a change.",Republican,national,,editorial_opinion,False,Hearst,https://www.nytimes.com/1928/09/01/archives/hearst-sees-smith-defeated-as-a-wet-calls-prohibition-false-issue.html,nyt,elections,1928,,1928,The New York Times,,1928-09-01,,Republican,True
Representative Burton predicts backing for Hoover in Ohio.,Hoover,state,Ohio,correspondent_analysis,False,Representative Burton,https://www.nytimes.com/1928/09/01/archives/gives-ohio-to-hoover-representative-burton-arrives-with-report-from.html,nyt,elections,1928,,1928,The New York Times,,1928-09-01,,Hoover,
Predicts Smith will get about as many electoral votes in nation as Davis in 1924,Republican,national,,correspondent_analysis,True,,https://www.nytimes.com/1928/09/01/archives/work-here-claims-state-for-hoover-consults-leaders-predicts-smith.html,nyt,elections,1928,,1928,The New York Times,,1928-09-01,,Republican,True
Wood predicts President Hoover will carry Indiana and prophesies a Republican House.,Hoover,state,Indiana,correspondent_analysis,False,Wood,https://www.nytimes.com/1932/09/01/archives/twits-republicans-on-adams-defense-wagner-calls-on-hoover-to.html,nyt,elections,1932,,1932,The New York Times,,1932-09-01,,Hoover,
Wood prophesies a Republican House in the upcoming election.,Republican,national,,correspondent_analysis,False,Wood,https://www.nytimes.com/1932/09/01/archives/twits-republicans-on-adams-defense-wagner-calls-on-hoover-to.html,nyt,elections,1932,,1932,The New York Times,,1932-09-01,,Republican,False
Narrow Hoover victory is forecast in Rhode Island.,Hoover,state,Rhode Island,editorial_opinion,False,,https://www.nytimes.com/1932/11/06/archives/rhode-island-narrow-hoover-victory-is-forecast-democrats-leads-for.html,nyt,elections,1932,,1932,The New York Times,,1932-11-06,,Hoover,
"200,000 Roosevelt plurality predicted in Ohio",Roosevelt,state,Ohio,editorial_opinion,False,,https://www.nytimes.com/1932/11/06/archives/ohio-200000-roosevelt-plurality-predicted-bulkley-victory-seen.html,nyt,elections,1932,,1932,The New York Times,,1932-11-06,,Roosevelt,
Easy victory for entire Republican ticket is forecast in Vermont.,Republican,state,Vermont,editorial_opinion,False,,https://www.nytimes.com/1932/11/06/archives/vermont-easy-victory-for-entire-republican-ticket-is-forecast.html,nyt,elections,1932,,1932,The New York Times,,1932-11-06,,Republican,
"Definite swing is to Hoover in Minnesota, but result is in doubt.",Hoover,state,Minnesota,correspondent_analysis,True,,https://www.nytimes.com/1932/11/06/archives/minnesota-definite-swing-is-to-hoover-but-result-is-in-doubt.html,nyt,elections,1932,,1932,The New York Times,,1932-11-06,,Hoover,
Vermont and Maine conceded to Hoover; Democrats due to win in Rhode Island,Hoover,state,Vermont,reported_poll,False,,https://www.nytimes.com/1932/11/06/archives/vermont-and-maine-conceded-to-hoover-democrats-due-to-win-in-rhode.html,nyt,elections,1932,,1932,The New York Times,,1932-11-06,,Hoover,
Vermont and Maine conceded to Hoover; Democrats due to win in Rhode Island,Hoover,state,Maine,reported_poll,False,,https://www.nytimes.com/1932/11/06/archives/vermont-and-maine-conceded-to-hoover-democrats-due-to-win-in-rhode.html,nyt,elections,1932,,1932,The New York Times,,1932-11-06,,Hoover,
Vermont and Maine conceded to Hoover; Democrats due to win in Rhode Island,Democratic,state,Rhode Island,reported_poll,False,,https://www.nytimes.com/1932/11/06/archives/vermont-and-maine-conceded-to-hoover-democrats-due-to-win-in-rhode.html,nyt,elections,1932,,1932,The New York Times,,1932-11-06,,Democratic,
"Mrs. Bacon, vice chairman of the New York State Republican convention, believes the ticket will aid Landon and Knox to carry the state.",Republican,state,New York,editorial_opinion,False,Mrs. Bacon,https://www.nytimes.com/1936/10/01/archives/hail-womens-part-in-party-platform-republican-committee-women.html,nyt,elections,1936,,1936,The New York Times,,1936-10-01,,Republican,
"Leaders estimate Roosevelt may even better his 1932 plurality of 871,000 in New York City.",Roosevelt,state,New York,correspondent_analysis,True,Farley and New York City Democratic leaders,https://www.nytimes.com/1936/09/05/archives/farley-hears-city-is-safe-by-835000-leaders-estimate-roosevelt-may.html,nyt,elections,1936,,1936,The New York Times,,1936-09-05,,Roosevelt,
"Mrs. Caspar Whitney finds a swing for the New Deal in the West, claiming the area for Roosevelt.",Roosevelt,state,Western states,correspondent_analysis,False,Mrs. Caspar Whitney,https://www.nytimes.com/1936/09/07/archives/west-seen-for-roosevelt-mrs-caspar-whitney-finds-swing-for-the-new.html,nyt,elections,1936,,1936,The New York Times,,1936-09-07,,Roosevelt,
Willkie expected to win Erie County; both parties agree Roosevelt cannot duplicate big vote he got there in 1936,Willkie,state,New York,editorial_opinion,True,,https://www.nytimes.com/1940/10/27/archives/willkie-expected-to-win-erie-county-both-parties-agree-roosevelt.html,nyt,elections,1940,,1940,The New York Times,,1940-10-27,,Willkie,
"Impartial observers say Rhode Island will go to Roosevelt by 20,000 to 25,000 margin",Roosevelt,state,Rhode Island,correspondent_analysis,True,Impartial observers,https://www.nytimes.com/1944/10/04/archives/rhode-island-vote-still-democratic-impartial-observers-say-state.html,nyt,elections,1944,,1944,The New York Times,,1944-10-04,,Roosevelt,
Republican sweep likely in Maine in November election,Republican,state,Maine,editorial_opinion,True,,https://www.nytimes.com/1944/09/10/archives/republican-sweep-likely-in-maine-but-cio-keeping-to-sidelines-on.html,nyt,elections,1944,,1944,The New York Times,,1944-09-10,,Republican,
Democrats say chances of Roosevelt are good in November election,Roosevelt,national,,editorial_opinion,True,Democratic leaders,https://www.nytimes.com/1944/09/10/archives/republican-sweep-likely-in-maine-but-cio-keeping-to-sidelines-on.html,nyt,elections,1944,,1944,The New York Times,,1944-09-10,,Roosevelt,True
Dewey backers confident of victory in November election,Republican,national,,editorial_opinion,False,Dewey backers,https://www.nytimes.com/1944/09/10/archives/republican-sweep-likely-in-maine-but-cio-keeping-to-sidelines-on.html,nyt,elections,1944,,1944,The New York Times,,1944-09-10,,Republican,False
Reduced plurality for President is prediction of observers in Maryland,Roosevelt,state,Maryland,correspondent_analysis,True,observers,https://www.nytimes.com/1944/11/05/archives/maryland-reduced-plurality-for-president-is-prediction-of-observers.html,nyt,elections,1944,,1944,The New York Times,,1944-11-05,,Roosevelt,
Dewey margin is seen in North Dakota despite recent trend to Roosevelt,Dewey,state,North Dakota,editorial_opinion,True,,https://www.nytimes.com/1944/11/05/archives/north-dakota-dewey-margin-is-seen-despite-recent-trend-to-roosevelt.html,nyt,elections,1944,,1944,The New York Times,,1944-11-05,,Dewey,
Soldier and 'Silent' Vote Are Believed to Give Slight Advantage to Roosevelt in New Jersey,Roosevelt,state,New Jersey,correspondent_analysis,True,,https://www.nytimes.com/1944/11/05/archives/presidential-race-is-close-in-jersey-but-soldier-and-silent-vote.html,nyt,elections,1944,,1944,The New York Times,,1944-11-05,,Roosevelt,
Republican Candidates for Senate and House Are Expected to Win,Republican,state,New Jersey,correspondent_analysis,True,,https://www.nytimes.com/1944/11/05/archives/presidential-race-is-close-in-jersey-but-soldier-and-silent-vote.html,nyt,elections,1944,,1944,The New York Times,,1944-11-05,,Republican,
Democratic Ticket Is Expected to Win in Close Race in Kentucky,Democratic,state,Kentucky,editorial_opinion,True,,https://www.nytimes.com/1944/11/05/archives/kentucky-democratic-ticket-is-expected-to-win-in-close-race.html,nyt,elections,1944,,1944,The New York Times,,1944-11-05,,Democratic,
President appears to be only Democratic victor in New Hampshire,Democratic,state,New Hampshire,correspondent_analysis,True,,https://www.nytimes.com/1944/11/05/archives/new-hampshire-president-appears-to-be-only-democratic-victor.html,nyt,elections,1944,,1944,The New York Times,,1944-11-05,,Democratic,
Democratic Ticket Is Expected to Win Rhode Island by Easy Margin,Democratic,state,Rhode Island,editorial_opinion,True,,https://www.nytimes.com/1944/11/05/archives/rhode-island-democratic-ticket-is-expected-to-win-by-easy-margin.html,nyt,elections,1944,,1944,The New York Times,,1944-11-05,,Democratic,
"Close race is expected in Delaware, with Roosevelt the winner",Roosevelt,state,Delaware,editorial_opinion,True,,https://www.nytimes.com/1944/11/05/archives/delaware-close-race-is-expected-with-roosevelt-the-winner.html,nyt,elections,1944,,1944,The New York Times,,1944-11-05,,Roosevelt,
Roosevelt and Thomas likely to win Oklahoma by slim margins,Roosevelt,state,Oklahoma,editorial_opinion,True,,https://www.nytimes.com/1944/11/05/archives/oklahoma-roosevelt-and-thomas-likely-to-win-by-slim-margins.html,nyt,elections,1944,,1944,The New York Times,,1944-11-05,,Roosevelt,
"Close race is predicted, with odds favoring President",Roosevelt,national,,betting_odds,True,,https://www.nytimes.com/1944/11/05/archives/washington-close-race-is-predicted-with-odds-favoring-president.html,nyt,elections,1944,,1944,The New York Times,,1944-11-05,,Roosevelt,True
Dewey and Wiley are reported having a slight edge in Wisconsin,Dewey,state,Wisconsin,reported_poll,True,,https://www.nytimes.com/1944/11/05/archives/wisconsin-dewey-wiley-are-reported-having-slight-edge.html,nyt,elections,1944,,1944,The New York Times,,1944-11-05,,Dewey,
Brownell and Representative Scott see Maine Senate election results as a forecast of Republican victory in the presidential election.,Republican,national,,correspondent_analysis,False,"Brownell, Jr and Representative Scott",https://www.nytimes.com/1948/09/15/archives/smith-vote-hailed-as-dewey-portent-brownell-scott-claim-election.html,nyt,elections,1948,,1948,The New York Times,,1948-09-15,,Republican,False
Dewey is expected to win Delaware; Democrats to concentrate on electing governor to keep state government in fold,Dewey,state,Delaware,editorial_opinion,True,,https://www.nytimes.com/1948/10/08/archives/dewey-is-expected-to-win-delaware-democrats-to-concentrate-on.html,nyt,elections,1948,,1948,The New York Times,,1948-10-08,,Dewey,
Dewey favored to win the presidential vote in Connecticut,Dewey,state,Connecticut,editorial_opinion,False,,https://www.nytimes.com/1948/10/22/archives/connecticut-puts-focus-on-bowles-interest-in-race-for-governor-is.html,nyt,elections,1948,,1948,The New York Times,,1948-10-22,,Dewey,
Wisconsin margin for Dewey to rise,Dewey,state,Wisconsin,correspondent_analysis,False,,https://www.nytimes.com/1948/10/26/archives/wisconsin-margin-for-dewey-to-rise-democrats-expected-to-win-at.html,nyt,elections,1948,,1948,The New York Times,,1948-10-26,,Dewey,
Democrats expected to win at least one House seat,Democratic Party,state,Wisconsin,correspondent_analysis,True,,https://www.nytimes.com/1948/10/26/archives/wisconsin-margin-for-dewey-to-rise-democrats-expected-to-win-at.html,nyt,elections,1948,,1948,The New York Times,,1948-10-26,,Democratic Party,
Truman seen safe in North Carolina; state held more likely than rest in South to stay in fold,Truman,state,North Carolina,correspondent_analysis,False,,https://www.nytimes.com/1948/10/27/archives/truman-seen-safe-in-north-carolina-state-courted-by-all-parties.html,nyt,elections,1948,,1948,The New York Times,,1948-10-27,,Truman,
Truman favored in close race,Truman,national,,correspondent_analysis,True,,https://www.nytimes.com/1948/10/27/archives/truman-seen-safe-in-north-carolina-state-courted-by-all-parties.html,nyt,elections,1948,,1948,The New York Times,,1948-10-27,,Truman,True
"Illinois GOP relies on Dewey to carry House candidates, resting its hope on Dewey to win Illinois.",Dewey,state,Illinois,editorial_opinion,False,,https://www.nytimes.com/1948/10/17/archives/illinois-gop-relies-on-dewey-to-carry-house-candidates-illinois-gop.html,nyt,elections,1948,,1948,The New York Times,,1948-10-17,,Dewey,
"Dewey is favored to win in Virginia, but the edge is so narrow a mild shift in 'silent votes' would defeat him.",Dewey,state,Virginia,correspondent_analysis,True,,https://www.nytimes.com/1948/10/29/archives/dewey-is-favored-to-win-in-virginia-but-edge-is-so-narrow-a-mild.html,nyt,elections,1948,,1948,The New York Times,,1948-10-29,,Dewey,
Republicans believe Nassau County will give Eisenhower enough votes to win New York State.,Eisenhower,state,New York,correspondent_analysis,False,Republicans,https://www.nytimes.com/1952/11/02/archives/nassau-democrats-see-g-o-p-edge-cut-republicans-however-believe.html,nyt,elections,1952,,1952,The New York Times,,1952-11-02,,Eisenhower,
"A close contest expected in Essex; estimate of Eisenhower lead is lowered, and an upset is considered possible",Eisenhower,state,New Jersey,editorial_opinion,True,,https://www.nytimes.com/1952/11/02/archives/a-close-contest-expected-in-essex-estimate-of-eisenhower-lead-is.html,nyt,elections,1952,,1952,The New York Times,,1952-11-02,,Eisenhower,
Republicans seen winning Fairfield; Connecticut County expected to follow old tradition,Republican,state,Connecticut,correspondent_analysis,True,,https://www.nytimes.com/1952/10/26/archives/republicans-seen-winning-fairfield-connecticut-county-expected-to.html,nyt,elections,1952,,1952,The New York Times,,1952-10-26,,Republican,
Times survey of North Dakota indicates Democrats gain because of farm unrest but Republican defeat is unlikely,Republican,state,North Dakota,reported_poll,True,Times survey,https://www.nytimes.com/1956/10/03/archives/democrats-gain-in-north-dakota-but-gop-leads-farm-unrest-aids.html,nyt,elections,1956,,1956,The New York Times,,1956-10-03,,Republican,
"Suburban vote keeps New Jersey safe for President, survey finds",Republican,state,New Jersey,reported_poll,False,,https://www.nytimes.com/1956/10/25/archives/front-page-1-no-title-suburban-vote-keeps-jersey-safe-for-president.html,nyt,elections,1956,,1956,The New York Times,,1956-10-25,,Republican,
Reports indicate the three northern states in the upper northeast will be recorded for President Eisenhower.,Eisenhower,state,Maine,correspondent_analysis,True,,https://www.nytimes.com/1956/10/14/archives/upper-northeast-backs-president-reports-indicate-the-three-northern.html,nyt,elections,1956,,1956,The New York Times,,1956-10-14,,Eisenhower,
Collins seen winning re-election.,Collins,state,,correspondent_analysis,True,,https://www.nytimes.com/1956/10/14/archives/upper-northeast-backs-president-reports-indicate-the-three-northern.html,nyt,elections,1956,,1956,The New York Times,,1956-10-14,,Collins,
G.O.P. again is certain of carrying Vermont,Republican,state,Vermont,editorial_opinion,False,,https://www.nytimes.com/1956/10/25/archives/democrats-make-vermont-inroads-but-gop-again-is-certain-of-carrying.html,nyt,elections,1956,,1956,The New York Times,,1956-10-25,,Republican,
"President is expected to win usual G.O.P. margin of 10,000 or more in Rockland County",Republican,state,New York,correspondent_analysis,True,party leaders Hawkins and Zeck,https://www.nytimes.com/1956/11/04/archives/rockland-hints-at-split-tickets-but-president-is-expected-to-win.html,nyt,elections,1956,,1956,The New York Times,,1956-11-04,,Republican,
"Eisenhower and Stevenson running close in Minnesota, survey shows the race a toss-up as G.O.P. farm vote dips",,state,Minnesota,reported_poll,True,,https://www.nytimes.com/1956/10/05/archives/minnesota-race-a-tossup-as-gop-farm-vote-dips-plans-to-switch-again.html,nyt,elections,1956,,1956,The New York Times,,1956-10-05,,,
Democrats hold South Carolina; Stevenson favored despite 'Third Force' revolt,Stevenson,state,South Carolina,editorial_opinion,True,,https://www.nytimes.com/1956/10/17/archives/democrats-hold-south-carolina-stevenson-favored-despite-third-force.html,nyt,elections,1956,,1956,The New York Times,,1956-10-17,,Stevenson,
Nixon favored to win Iowa state in the upcoming presidential election,Nixon,state,Iowa,correspondent_analysis,False,,https://www.nytimes.com/1960/10/30/archives/ticketspltting-expected-in-iowa-nixon-favored-to-win-state-but.html,nyt,elections,1960,,1960,The New York Times,,1960-10-30,,Nixon,
Party sees Kennedy carrying New York,Kennedy,state,New York,editorial_opinion,False,Party,https://www.nytimes.com/1960/09/04/archives/party-sees-kennedy-carrying-new-york.html,nyt,elections,1960,,1960,The New York Times,,1960-09-04,,Kennedy,
Maine expected to go Republican in the upcoming election,Republican,state,Maine,editorial_opinion,True,,https://www.nytimes.com/1960/10/16/archives/maine-expected-to-go-republican-another-woman-is-opposing-senator.html,nyt,elections,1960,,1960,The New York Times,,1960-10-16,,Republican,
Times (Wehrwein) survey of Missouri finds Kennedy leads; Democrats report gains in rural area,Kennedy,state,Missouri,reported_poll,False,Times (Wehrwein),https://www.nytimes.com/1960/10/16/archives/kennedys-stock-roses-in-missouri-democrats-report-gains-in-rural.html,nyt,elections,1960,,1960,The New York Times,,1960-10-16,,Kennedy,
Morton says Nixon is slightly behind in Missouri,Kennedy,state,Missouri,correspondent_analysis,True,Morton,https://www.nytimes.com/1960/10/16/archives/kennedys-stock-roses-in-missouri-democrats-report-gains-in-rural.html,nyt,elections,1960,,1960,The New York Times,,1960-10-16,,Kennedy,
Race in Illinois called toss-up; Nixon appears to be ahead but the Democrats may take two top posts,Nixon,state,Illinois,correspondent_analysis,True,,https://www.nytimes.com/1960/10/23/archives/race-in-illinois-called-tossup-nixon-appears-to-be-ahead-but-the.html,nyt,elections,1960,,1960,The New York Times,,1960-10-23,,Nixon,
"With Kennedy expected to win, attention focuses on 'coattail' factors in Rhode Island local races.",Kennedy,national,,editorial_opinion,True,,https://www.nytimes.com/1960/10/29/archives/local-races-eyed-in-rhode-island-with-kennedy-expected-to-win.html,nyt,elections,1960,,1960,The New York Times,,1960-10-29,,Kennedy,True
"Loveless is likely to be Iowa victor; Democratic Senate nominee found ahead, but state seems to favor Nixon",Loveless,state,Iowa,correspondent_analysis,True,,https://www.nytimes.com/1960/10/16/archives/loveless-is-likely-to-be-iowa-victor-democratic-senate-nominee.html,nyt,elections,1960,,1960,The New York Times,,1960-10-16,,Loveless,
State seems to favor Nixon,Nixon,state,Iowa,correspondent_analysis,True,,https://www.nytimes.com/1960/10/16/archives/loveless-is-likely-to-be-iowa-victor-democratic-senate-nominee.html,nyt,elections,1960,,1960,The New York Times,,1960-10-16,,Nixon,
Johnson carrying New York State by 1.5 million votes,Johnson,state,New York,correspondent_analysis,False,Kennedy,https://www.nytimes.com/1964/09/05/archives/kennedy-decides-not-to-vote-nov3-he-could-in-massachusetts-but-as.html,nyt,elections,1964,,1964,The New York Times,,1964-09-05,,Johnson,
"Coos County, NH, voters indicate they will support Johnson against Goldwater in the upcoming presidential election.",Johnson,state,New Hampshire,reported_poll,False,,https://www.nytimes.com/1964/09/27/archives/two-bellwether-counties-differ-in-new-england-on-vote-trend-both.html,nyt,elections,1964,,1964,The New York Times,,1964-09-27,,Johnson,
