quote,topic,direction,price_direction,unemployment_direction,horizon_months,confidence,voice,speaker_name,scope,is_quoted_forecaster,conditional_on,reasoning,current_state,page_id,date,publisher,source_text_type,predicted_norm,realized,basis,hit,scorable,unscorable_reason,horizon_used,horizon_basis
"Place the inhabitants in the po sition where their trade can be extended, and all Will be well; but if the policy which contracts trade and increases pauperism continúes, the questions which, in prosperity, would become minor ones, .vill grow in fm portance, and instead of a feeling of contentment, which makes govem ment easy, a spirit of discontent will arise which may render govemment hard.",other,worsen,na,na,vague,hedged,expert,Mr. Corwine,regional,True,if policy contracts trade and increases pauperism,policy contracts trade,na,/service/ndnp/prru/batch_prru_caridad_ver03/data/sn91099739/0041418022A/1900012001/0069.xml,1900-01-20,"boletín mercantil de puerto rico (san juan, p.r.) 18??-1918",full_page,worsen,,,,False,scope=regional (not US national),,
The market for butter will not go any higher.,prices,no_change,stable,na,vague,assertive,journalist,na,industry,False,na,na,na,/service/ndnp/mb/batch_mb_gaia_ver02/data/sn86086481/0051717161A/1900020301/0344.xml,1900-02-03,"the worcester spy (worcester, mass.) 1898-1904",full_page,flat,,,,False,scope=industry (not US national),,
"It is a safe guess that when the waste which always occurs in vegetables carried at home by the barrel or bushel, is considered, that canned beets, turnips, onions and other perishable vegetables would be much more expensive than the more tasty, bottled or canned article.",prices,worsen,up,na,vague,hedged,journalist,na,industry,False,when the waste ... is considered,waste raises cost,na,/service/ndnp/mb/batch_mb_gaia_ver02/data/sn86086481/0051717161A/1900020301/0344.xml,1900-02-03,"the worcester spy (worcester, mass.) 1898-1904",full_page,up,,,,False,scope=industry (not US national),,
"The ensuing week will no doubt show another increase, and it is not unlikely that the larger figures for March last year w 11 be appr, ximated this March.",prices,improve,up,na,vague,assertive,journalist,na,national,False,na,na,mixed,/service/ndnp/gu/batch_gu_gadget_ver01/data/sn86063034/0041418229A/1900022601/0653.xml,1900-02-26,"the morning news (savannah, ga.) 1887-1900",full_page,up,,no CPI before 1913 / outside coverage,,False,no CPI before 1913 / outside coverage,6.0,inferred_short
"After that the movement is ex pected to be lighter again, and the rela tive loss for the following four months may reach something like 100,000 to 500,000 hales.",prices,worsen,down,na,vague,hedged,journalist,na,national,False,na,na,mixed,/service/ndnp/gu/batch_gu_gadget_ver01/data/sn86063034/0041418229A/1900022601/0653.xml,1900-02-26,"the morning news (savannah, ga.) 1887-1900",full_page,down,,no CPI before 1913 / outside coverage,,False,no CPI before 1913 / outside coverage,12.0,default
"Rates for time loans show a hardening tendency, which may continue for some weeks to come.",markets,worsen,up,na,vague,hedged,expert,Clews,national,True,na,hardening tendency,mixed,/service/ndnp/gu/batch_gu_gadget_ver01/data/sn86063034/0041418229A/1900022601/0653.xml,1900-02-26,"the morning news (savannah, ga.) 1887-1900",full_page,worsen,improve,NBER,0.0,True,,6.0,inferred_short
"It is quite evident that the tide has turned In favor of British arms, and that henceforth more favorable news can tie expected from that quarter.",other,improve,na,na,vague,assertive,expert,Clews,foreign,True,na,British arms success,mixed,/service/ndnp/gu/batch_gu_gadget_ver01/data/sn86063034/0041418229A/1900022601/0653.xml,1900-02-26,"the morning news (savannah, ga.) 1887-1900",full_page,improve,,,,False,scope=foreign (not US national),,
"The railroad situation continues eminently satisfactory, for earnings are showing steady gains over the Increases of last year, and every Indication points to the maintenance of this improvement for a long time to come.",industry,improve,na,na,vague,assertive,expert,Clews,industry,True,na,steady earnings gains,good,/service/ndnp/gu/batch_gu_gadget_ver01/data/sn86063034/0041418229A/1900022601/0653.xml,1900-02-26,"the morning news (savannah, ga.) 1887-1900",full_page,improve,,,,False,scope=industry (not US national),,
Possibility that Strike In Chicago May Extend Over Entire Country.,employment,worsen,na,up,vague,hedged,journalist,na,regional,False,na,na,mixed,/service/ndnp/nbu/batch_nbu_dove_ver01/data/sn84020107/00517015003/1900030301/0460.xml,1900-03-03,"the beatrice daily express (beatrice, neb.) 1884-1924",full_page,up,,,,False,scope=regional (not US national),,
The reduction is 7 cents on export and 4.5 cents on domestic grain. The new tariff is to be effective next Monday.,prices,worsen,down,na,0,assertive,journalist,na,industry,False,na,na,na,/service/ndnp/nbu/batch_nbu_dove_ver01/data/sn84020107/00517015003/1900030301/0460.xml,1900-03-03,"the beatrice daily express (beatrice, neb.) 1884-1924",full_page,down,,,,False,scope=industry (not US national),,
The business outlook is certain ly very good here considering the time of year and it may be expect ed to improve as soon as the spring and warm weather enlivens things as it always does.,general_business,improve,na,na,vague,hedged,journalist,na,regional,False,as soon as the spring and warm weather,spring weather enlivens business,good,/service/ndnp/wyu/batch_wyu_etna_ver03/data/sn83002748/00514150163/1900030101/0121.xml,1900-03-01,"the saratoga sun (saratoga, carbon county, wyo.) 1891-current",full_page,improve,,,,False,scope=regional (not US national),,
"in a short time all of the i the important towns in the southern part of the state will have telephone connection with Salt Lake City and Denver, as well as with Chicago and San Francisco.",general_business,improve,na,na,vague,assertive,journalist,na,regional,False,na,na,na,/service/ndnp/wyu/batch_wyu_etna_ver03/data/sn83002748/00514150163/1900030101/0121.xml,1900-03-01,"the saratoga sun (saratoga, carbon county, wyo.) 1891-current",full_page,improve,,,,False,scope=regional (not US national),,
The Ferris-Haggarty Company now has fourteen sixes on the road between the Transfer and the railroad. This number will be increased as fast as possible as the production of ore at the mine is crowding them on every hand.,industry,improve,na,na,vague,assertive,journalist,na,industry,False,as production of ore increases,ore production crowding them,na,/service/ndnp/wyu/batch_wyu_etna_ver03/data/sn83002748/00514150163/1900030101/0121.xml,1900-03-01,"the saratoga sun (saratoga, carbon county, wyo.) 1891-current",full_page,improve,,,,False,scope=industry (not US national),,
"The indications for the future are very bright in every section of the country, and 31*00 promises to eclipse all previous years in point of prosperity.",general_business,improve,na,na,vague,assertive,journalist,na,national,False,na,na,mixed,/service/ndnp/vi/batch_vi_albion_ver01/data/sn85034438/00100480372/1900032001/0620.xml,1900-03-20,"the times (richmond, va.) 1890-1903",full_page,improve,improve,NBER,1.0,True,,12.0,default
Savan mah expects a decrease in tlie price of spirits.,prices,improve,down,na,vague,hedged,journalist,na,national,False,na,na,na,/service/ndnp/vi/batch_vi_albion_ver01/data/sn85034438/00100480372/1900032001/0620.xml,1900-03-20,"the times (richmond, va.) 1890-1903",full_page,down,,no CPI before 1913 / outside coverage,,False,no CPI before 1913 / outside coverage,12.0,default
has been enacted into a ;aw which will ensure the stabilty of our currency and the future prosperity to the labor anl business of the countr‘.,other,improve,na,na,vague,assertive,expert,Senator George Peabody Wetmore,national,True,na,law enacted,good,/service/ndnp/rp/batch_rp_firefriend_ver01/data/sn91070630/00514152949/1900033101/0010.xml,1900-03-31,the providence news (providence [r.i.]) 1891-1906,full_page,improve,improve,NBER,1.0,True,,12.0,default
"The effect of the bill upon toe money market will be felt gradually; the first result being the Increase of circula tion from 90 to 100 per cent, of par value of bonds.",markets,improve,na,na,vague,assertive,expert,na,national,False,na,bill increases money supply,bad,/service/ndnp/gu/batch_gu_gadget_ver01/data/sn86063034/0041418229A/1900031901/0893.xml,1900-03-19,"the morning news (savannah, ga.) 1887-1900",full_page,improve,improve,NBER,1.0,True,,12.0,default
"it wi.l be some time before ihe'hmo-unt of new circulation reaches $100,000,000, If it over touches that increase, under present condi tions.",markets,improve,na,na,vague,assertive,expert,na,national,False,na,new circulation expands money supply,bad,/service/ndnp/gu/batch_gu_gadget_ver01/data/sn86063034/0041418229A/1900031901/0893.xml,1900-03-19,"the morning news (savannah, ga.) 1887-1900",full_page,improve,improve,NBER,1.0,True,,12.0,default
"The March movement will be less than last year, per. haps by over 100,000 bales.",markets,worsen,na,na,vague,assertive,expert,William T. Williams,industry,True,na,historical trend suggests lower crop movement,mixed,/service/ndnp/gu/batch_gu_gadget_ver01/data/sn86063034/0041418229A/1900031901/0893.xml,1900-03-19,"the morning news (savannah, ga.) 1887-1900",full_page,worsen,,,,False,scope=industry (not US national),,
"As these foots become recognized, it b likely that speculation in the old crop months will take a fresh spurt.",markets,improve,na,na,vague,hedged,expert,William T. Williams,industry,True,na,recognition of foots spurs speculation,mixed,/service/ndnp/gu/batch_gu_gadget_ver01/data/sn86063034/0041418229A/1900031901/0893.xml,1900-03-19,"the morning news (savannah, ga.) 1887-1900",full_page,improve,,,,False,scope=industry (not US national),,
Alvah Trowbridge President of the North American Trust Company and Vice President of the American Bankers'-Association in an interview to-day-said that the outlook for business dur ing the remainder of the current year could not be brighter,general_business,improve,na,na,vague,assertive,expert,Alvah Trowbridge,national,True,na,na,bad,/service/ndnp/kyu/batch_kyu_aussie_ver01/data/sn83045188/print/1900032601/0319.xml,1900-03-26,the courier-journal (louisville [ky.]) 1869-current,full_page,improve,improve,NBER,1.0,True,,12.0,default
prospects for a still better one next Saturday are so good that borrowers are in good spirits,general_business,improve,na,na,6,assertive,journalist,na,national,False,na,na,mixed,/service/ndnp/kyu/batch_kyu_aussie_ver01/data/sn83045188/print/1900032601/0319.xml,1900-03-26,the courier-journal (louisville [ky.]) 1869-current,full_page,improve,improve,NBER,1.0,True,,6.0,stated
"The affairs of the company, however, {t was said yesterday, ars in no condi tion to expect any real undertaking of the work this year.",industry,worsen,na,na,vague,assertive,journalist,na,regional,False,na,no condition to expect,bad,/service/ndnp/dlc/batch_dlc_greece_ver02/data/sn83030214/00175040857/1900042501/0491.xml,1900-04-25,new-york tribune (new york [n.y.]) 1866-1924,full_page,worsen,,,,False,scope=regional (not US national),,
It ia Rumored It Will Buy Kamalo Plantation.,industry,improve,na,na,vague,hedged,layperson,na,regional,False,na,na,bad,/service/ndnp/hihouml/batch_hihouml_desdemona_ver03/data/sn85047084/00296024612/1900040901/0445.xml,1900-04-09,"the pacific commercial advertiser (honolulu, hawaiian islands) 1885-1921",full_page,improve,,,,False,scope=regional (not US national),,
The mill which Is on the way here now on the Ilorda from New Vork will In all probability be stored on arrival to await the action or tnc directors of the American Sugar Company.,industry,worsen,na,na,vague,hedged,journalist,na,regional,False,na,na,bad,/service/ndnp/hihouml/batch_hihouml_desdemona_ver03/data/sn85047084/00296024612/1900040901/0445.xml,1900-04-09,"the pacific commercial advertiser (honolulu, hawaiian islands) 1885-1921",full_page,worsen,,,,False,scope=regional (not US national),,
"Prices may not be advanced, but they will be held slid.",prices,no_change,stable,na,vague,hedged,expert,na,industry,False,na,na,good,/service/ndnp/iahi/batch_iahi_carson_ver01/data/sn85049554/00416159324/1900041101/0078.xml,1900-04-11,"evening times-republican (marshalltown, iowa) 1890-1923",full_page,flat,,,,False,scope=industry (not US national),,
new transactions do not yet give assurance that it will hold at the same rate.,general_business,worsen,na,na,vague,hedged,journalist,na,national,False,na,na,mixed,/service/ndnp/pst/batch_pst_irvin_ver01/data/sn83032011/00280776877/1900022201/0943.xml,1900-02-22,"the columbian (bloomsburg, pa.) 1866-1910",full_page,worsen,improve,NBER,0.0,True,,12.0,default
"Circumstances do not yet promise its speedy ending, and in some other branches of industry prosperity and advancing prices seem to have rendered controversies more frequent.",other,worsen,up,na,vague,hedged,journalist,na,national,False,na,na,mixed,/service/ndnp/pst/batch_pst_irvin_ver01/data/sn83032011/00280776877/1900022201/0943.xml,1900-02-22,"the columbian (bloomsburg, pa.) 1866-1910",full_page,worsen,improve,NBER,0.0,True,,12.0,default
"hope that Frank will make a nice thing out of his new venture, which we have no doubt be will.",general_business,improve,na,na,vague,hedged,journalist,na,regional,False,na,na,mixed,/service/ndnp/sdhi/batch_sdhi_goshawk_ver03/data/sn2001063112/00415624669/1900020201/0865.xml,1900-02-02,"the mitchell capital (mitchell, dakota [s.d.]) 1879-1918",full_page,improve,,,,False,scope=regional (not US national),,
He is confident that the hooficure is just the filling for the horse's foot and with the proper amount of advertising he is sure make it a winner.,industry,improve,na,na,vague,assertive,layperson,James Bard,industry,True,na,advertising will boost sales,mixed,/service/ndnp/sdhi/batch_sdhi_goshawk_ver03/data/sn2001063112/00415624669/1900020201/0865.xml,1900-02-02,"the mitchell capital (mitchell, dakota [s.d.]) 1879-1918",full_page,improve,,,,False,scope=industry (not US national),,
"“As for the result being an increase of price to the consumer beyond a brief period there need be no fear. On the contrary the inevitable result of these aggregations is finally and permanently to give to the consumer cheaper articles than would have been otherwise possible to obtain, for capital is stimulated by the high profits of the trust for a season to embark against it.”",prices,improve,down,na,vague,assertive,expert,Andrew Carnegie,industry,True,na,aggregations of capital lower consumer prices,mixed,/service/ndnp/nbu/batch_nbu_dove_ver01/data/sn84020107/00517015015/1900042801/0020.xml,1900-04-28,"the beatrice daily express (beatrice, neb.) 1884-1924",full_page,down,,,,False,scope=industry (not US national),,
"Nearlv all building trades are now affected by the strike. Carpenters, plumbers, hod carriers and brick lay ers went out todav. It is tnought the trouble will oon be adjusted.",general_business,improve,na,down,vague,hedged,journalist,na,regional,False,na,na,bad,/service/ndnp/in/batch_in_johnwooden_ver01/data/sn84038016/00271744547/1900040301/0282.xml,1900-04-03,"richmond daily palladium (richmond, ind.) 1876-1904",full_page,improve,,,,False,scope=regional (not US national),,
He returns well pleased with his efforts and the assurance that this country will be the most potent factor in the trade with the Far East.,markets,improve,na,na,vague,assertive,expert,George H. Daniels,national,True,na,extension of trade with the Orient,good,/service/ndnp/iahi/batch_iahi_gardevoir_ver02/data/sn87057928/00340584430/1900053102/0185.xml,1900-05-31,"audubon republican (audubon, iowa) 1894-1925",full_page,improve,improve,NBER,1.0,True,,12.0,default
"Within five years, I believe. It* volume of trade will pass that of San Franciaco.",markets,improve,na,na,vague,hedged,expert,J. M. Hatterton,regional,True,na,belief in trade growth,good,/service/ndnp/wa/batch_wa_index_ver01/data/sn83045604/00202199690/1900050601/0892.xml,1900-05-06,"the seattle post-intelligencer (seattle, wash. terr. [wash.]) 1888-1914",full_page,improve,,,,False,scope=regional (not US national),,
"Money promises to continue easy for St'i some time to come, and the prosper f'ra of moderate exports of gold excltw Yon but little concern on Wall struct.",general_business,improve,na,na,vague,assertive,expert,Henry Clews,national,True,na,easy money will support economy,bad,/service/ndnp/wvu/batch_wvu_germany_ver01/data/sn84026844/00202193730/1900043001/0839.xml,1900-04-30,"the wheeling daily intelligencer (wheeling, w. va.) 1865-1903",full_page,improve,improve,NBER,1.0,True,,12.0,default
"It is quite likely that some concessions will be made In both raw shc and finished products: and... a reduction will be a wholesome stimulus to Industry, and not a cause for apprehension.",industry,improve,na,down,vague,hedged,expert,na,industry,False,na,concessions reduce costs,mixed,/service/ndnp/wvu/batch_wvu_germany_ver01/data/sn84026844/00202193730/1900043001/0839.xml,1900-04-30,"the wheeling daily intelligencer (wheeling, w. va.) 1865-1903",full_page,improve,,,,False,scope=industry (not US national),,
The business outlook for Forrest City through what has hereto fore been considered the dull season continues to brighten and the indications arc that this “dull season” will be marked as a period of unusual commercial activity.,general_business,improve,na,na,vague,assertive,journalist,na,regional,False,na,na,bad,/service/ndnp/arhi/batch_arhi_alakazam_ver01/data/sn84022960/00414212037/1900052501/0949.xml,1900-05-25,"the forrest city times (forrest city, ark.) 1871-1919",full_page,improve,,,,False,scope=regional (not US national),,
"The season for harvesting the first crop of Irish potatoes, which is no mean item, is rapidly approaching. The movement of this crop, which is not so large as in many previous years, from the fact that the acreage has been reduced by good cotton prices, will stimulate the circulation of money considerably and will contribute its influence towards making what we have heretofore known as the “dull season” the busiest season of the year.",general_business,improve,na,na,vague,assertive,journalist,na,regional,False,na,reduced acreage will stimulate money circulation,bad,/service/ndnp/arhi/batch_arhi_alakazam_ver01/data/sn84022960/00414212037/1900052501/0949.xml,1900-05-25,"the forrest city times (forrest city, ark.) 1871-1919",full_page,improve,,,,False,scope=regional (not US national),,
"we will enjoy the privileges accorded to a city of the second class by the national government, in the matter of public buildings and free mail service.",other,improve,na,na,vague,assertive,journalist,na,regional,False,if we take the proper steps while the time is propitious,na,bad,/service/ndnp/arhi/batch_arhi_alakazam_ver01/data/sn84022960/00414212037/1900052501/0949.xml,1900-05-25,"the forrest city times (forrest city, ark.) 1871-1919",full_page,improve,,,,False,scope=regional (not US national),,
the rank and file of the habitues of Wall Street appear to be convinced that the business of the country has entered upon a movement which will carry it quickly back to the depressed level of 1894 95,general_business,worsen,down,na,vague,assertive,journalist,na,national,False,na,movement will carry it back,bad,/service/ndnp/dlc/batch_dlc_barack_ver01/data/sn85054468/100492933/1900050901/0006.xml,1900-05-09,the times (washington [d.c.]) 1897-1901,full_page,worsen,improve,NBER,0.0,True,,12.0,default
stock speculation is quite likely to remain in its current lifeless condition.,markets,no_change,na,na,vague,hedged,journalist,na,national,False,na,na,mixed,/service/ndnp/dlc/batch_dlc_greece_ver02/data/sn83030214/00175040869/1900052701/0517.xml,1900-05-27,new-york tribune (new york [n.y.]) 1866-1924,full_page,flat,improve,NBER,0.0,True,,12.0,default
it may be that the slow and orderly change in the industrial activities of the country are steps that will lead to a resumption of business on a larger scale after the fall election,general_business,improve,na,na,vague,hedged,journalist,na,national,False,na,slow orderly change,mixed,/service/ndnp/dlc/batch_dlc_greece_ver02/data/sn83030214/00175040869/1900052701/0517.xml,1900-05-27,new-york tribune (new york [n.y.]) 1866-1924,full_page,improve,improve,NBER,1.0,True,,12.0,default
"The raising of the sugar beet in Iowa will come in time, as beet sug ... when the population has greatly increased in density.",industry,improve,na,na,vague,hedged,expert,na,regional,False,population increase,more labor and demand,mixed,/service/ndnp/iahi/batch_iahi_carson_ver01/data/sn85049554/00416159324/1900042101/0147.xml,1900-04-21,"evening times-republican (marshalltown, iowa) 1890-1923",full_page,improve,,,,False,scope=regional (not US national),,
"Bankers report business excellent nil over the country, with no prospect of cessation for several years.",general_business,improve,na,na,vague,assertive,expert,Bankers,national,False,na,na,good,/service/ndnp/iahi/batch_iahi_carson_ver01/data/sn85049554/00416159324/1900042101/0147.xml,1900-04-21,"evening times-republican (marshalltown, iowa) 1890-1923",full_page,improve,improve,NBER,1.0,True,,12.0,default
"Business is good in Mexico. There is an active movement in the machinery and electrical supply trade. Mines are ordering machinery extensively, and cotton mills are replacing old-fashioned by modern machinery.",general_business,improve,na,na,vague,assertive,journalist,na,foreign,False,na,increased investment,good,/service/ndnp/iahi/batch_iahi_carson_ver01/data/sn85049554/00416159324/1900042101/0147.xml,1900-04-21,"evening times-republican (marshalltown, iowa) 1890-1923",full_page,improve,,,,False,scope=foreign (not US national),,
He will find that the foreign demand is running heavy ... prospects that it will further increase.,markets,improve,na,na,vague,hedged,expert,na,national,False,na,current heavy foreign demand,good,/service/ndnp/iahi/batch_iahi_carson_ver01/data/sn85049554/00416159324/1900042101/0147.xml,1900-04-21,"evening times-republican (marshalltown, iowa) 1890-1923",full_page,improve,improve,NBER,1.0,True,,12.0,default
At present the general business outlook is not of a very encouraging character. For if he immediate future it would seem that prices of all kinds of commodities would continue to work lower.,prices,worsen,down,na,vague,hedged,journalist,na,national,False,na,current outlook discouraging,bad,/service/ndnp/mthi/batch_mthi_jewelwing_ver01/data/sn85053057/00295860285/1900061501/0364.xml,1900-06-15,"daily inter mountain (butte, mont.) 1881-1901",full_page,down,,no CPI before 1913 / outside coverage,,False,no CPI before 1913 / outside coverage,6.0,inferred_short
the United States may see a return of the boom times enjoyed a year ago.,general_business,improve,up,down,vague,hedged,journalist,na,national,False,na,election out of the way,bad,/service/ndnp/mthi/batch_mthi_jewelwing_ver01/data/sn85053057/00295860285/1900061501/0364.xml,1900-06-15,"daily inter mountain (butte, mont.) 1881-1901",full_page,improve,improve,NBER,1.0,True,,12.0,default
where prices are expected to improve after the Calumet Hecla sale is concluded.,prices,improve,up,na,vague,hedged,journalist,na,national,False,Calumet Hecla sale concluded,sale will boost market,bad,/service/ndnp/mthi/batch_mthi_jewelwing_ver01/data/sn85053057/00295860285/1900061501/0364.xml,1900-06-15,"daily inter mountain (butte, mont.) 1881-1901",full_page,up,,no CPI before 1913 / outside coverage,,False,no CPI before 1913 / outside coverage,12.0,default
The oourse of tbe market will be controlled by tbe weather ad* vioes. Clearing weather would fiod tbe marketa without support aa the abort interest appears to have oovered duriog tbo past two days. Continued wet weather would attract tbe trade wbo have not bought,markets,improve,na,na,vague,hedged,journalist,na,national,False,clearing weather or continued wet weather,weather influences market activity,mixed,/service/ndnp/scu/batch_scu_felicitylane_ver01/data/sn93067846/00294550999/1900062702/0284.xml,1900-06-27,"the watchman and southron (sumter, s.c.) 1881-1930",full_page,improve,improve,NBER,1.0,True,,12.0,default
and altogether the financial outlook is exceedingly bright.,general_business,improve,na,na,vague,assertive,expert,na,regional,False,na,increase in resources and liabilities,mixed,/service/ndnp/okhi/batch_okhi_ellis_ver01/data/sn86063952/00237280891/1900060901/0267.xml,1900-06-09,"the guthrie daily leader (guthrie, okla.) 1893-1996",full_page,improve,,,,False,scope=regional (not US national),,
"If McKinley is elected an era of railroad building will be ushered in over the entire West. Development of all this undeveloped territory will be the watchword of the nation. The proposed road between Roswell and El Paso will be bnt 137 miles in length, but it will have the effect of connect ing Colorado directly with old Mexico and that means millions in trade.",industry,improve,na,na,vague,assertive,expert,J. JP Hagerman,regional,True,McKinley is elected,railroad building will expand trade,na,/service/ndnp/cohi/batch_cohi_dearfield_ver01/data/sn85067315/00383341073/1900070501/0052.xml,1900-07-05,"cañon city record (cañon city, colo.) 1883-192?",full_page,improve,,,,False,scope=regional (not US national),,
There will be few large private investment* in canals hereafter until we have better and more liberal irrigation laws.,general_business,worsen,na,na,vague,assertive,expert,Elwood Mead,industry,False,until better liberal irrigation laws,law changes needed for investment,mixed,/service/ndnp/wyu/batch_wyu_heinlein_ver01/data/sn92067096/00517179838/1900072101/0806.xml,1900-07-21,"the buffalo voice (buffalo, johnson county [wyo.]) 1897-1925",full_page,worsen,,,,False,scope=industry (not US national),,
the election of a demooratio president could not fail to ImpaiB the countrys credit and to bring once more into ques tion the intention of the American peo pie to maintain upon the gold Btandard the parity of their money circulation,general_business,worsen,na,na,vague,assertive,journalist,na,national,False,election of a demooratio president,credit will be impaired,good,/service/ndnp/dlc/batch_dlc_chester_ver02/data/sn83027091/00211103528/1900063001/0441.xml,1900-06-30,"the colored american (washington, d.c.) 1893-19??",full_page,worsen,improve,NBER,0.0,True,,12.0,default
The national de fense and naval efficiency of this country moreover supply a compelling reason for legislation which will enable us to recover our former place among the trade earring fleets of the world,general_business,improve,na,na,vague,assertive,journalist,na,national,False,legislation,defense and naval efficiency provide reason,bad,/service/ndnp/dlc/batch_dlc_chester_ver02/data/sn83027091/00211103528/1900063001/0441.xml,1900-06-30,"the colored american (washington, d.c.) 1893-19??",full_page,improve,improve,NBER,1.0,True,,12.0,default
"Lead producers of Utah have taken the first steps towards forming a state and later a national organization, to pu‘ up the price of lead by increasing e: ports.",prices,improve,up,na,vague,assertive,expert,na,industry,False,na,by increasing ports,na,/service/ndnp/dlc/batch_dlc_ifill_ver01/data/sn84025861/00211664782/1900060701/0018.xml,1900-06-07,"the wisconsin weekly advocate (milwaukee, wis.) 1898-19??",full_page,up,,,,False,scope=industry (not US national),,
"He would develop into the grandest of the island possessions of the United States... there is no question about it. The Philippines are immensely rich, and from a strictly commercial standpoint they are sure to be a paying investment.",general_business,improve,na,na,vague,assertive,official,Gen. Otis,foreign,True,na,rich resources,mixed,/service/ndnp/dlc/batch_dlc_ifill_ver01/data/sn84025861/00211664782/1900060701/0018.xml,1900-06-07,"the wisconsin weekly advocate (milwaukee, wis.) 1898-19??",full_page,improve,,,,False,scope=foreign (not US national),,
