quote,topic,direction,price_direction,unemployment_direction,horizon_months,confidence,voice,speaker_name,scope,is_quoted_forecaster,conditional_on,reasoning,current_state,page_id,date,publisher,source_text_type,predicted_norm,realized,basis,hit,scorable,unscorable_reason,horizon_used,horizon_basis,ip_growth_6m,ip_growth_12m,ip_accel,ip_gap,cpi_yoy,cpi_accel,unrate,unrate_d6,stock_ret6,stock_ret12,stock_vol6,stock_drawdown,epu,hindsight_in_recession,has_ip_growth_6m,has_ip_growth_12m,has_ip_accel,has_ip_gap,has_cpi_yoy,has_cpi_accel,has_unrate,has_unrate_d6,has_stock_ret6,has_stock_ret12,has_stock_vol6,has_stock_drawdown,has_epu
He returns well pleased with his efforts and the assurance that this country will be the most potent factor in the trade with the Far East.,markets,improve,na,na,vague,assertive,expert,George H. Daniels,national,True,na,extension of trade with the Orient,good,/service/ndnp/iahi/batch_iahi_gardevoir_ver02/data/sn87057928/00340584430/1900053102/0185.xml,1900-05-31,"audubon republican (audubon, iowa) 1894-1925",full_page,improve,improve,NBER,1.0,True,,12.0,default,,,,,,,,,,,,,121.096,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Money promises to continue easy for St'i some time to come, and the prosper f'ra of moderate exports of gold excltw Yon but little concern on Wall struct.",general_business,improve,na,na,vague,assertive,expert,Henry Clews,national,True,na,easy money will support economy,bad,/service/ndnp/wvu/batch_wvu_germany_ver01/data/sn84026844/00202193730/1900043001/0839.xml,1900-04-30,"the wheeling daily intelligencer (wheeling, w. va.) 1865-1903",full_page,improve,improve,NBER,1.0,True,,12.0,default,,,,,,,,,,,,,117.4808,0,0,0,0,0,0,0,0,0,0,0,0,0,1
the rank and file of the habitues of Wall Street appear to be convinced that the business of the country has entered upon a movement which will carry it quickly back to the depressed level of 1894 95,general_business,worsen,down,na,vague,assertive,journalist,na,national,False,na,movement will carry it back,bad,/service/ndnp/dlc/batch_dlc_barack_ver01/data/sn85054468/100492933/1900050901/0006.xml,1900-05-09,the times (washington [d.c.]) 1897-1901,full_page,worsen,improve,NBER,0.0,True,,12.0,default,,,,,,,,,,,,,121.096,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stock speculation is quite likely to remain in its current lifeless condition.,markets,no_change,na,na,vague,hedged,journalist,na,national,False,na,na,mixed,/service/ndnp/dlc/batch_dlc_greece_ver02/data/sn83030214/00175040869/1900052701/0517.xml,1900-05-27,new-york tribune (new york [n.y.]) 1866-1924,full_page,flat,improve,NBER,0.0,True,,12.0,default,,,,,,,,,,,,,121.096,0,0,0,0,0,0,0,0,0,0,0,0,0,1
it may be that the slow and orderly change in the industrial activities of the country are steps that will lead to a resumption of business on a larger scale after the fall election,general_business,improve,na,na,vague,hedged,journalist,na,national,False,na,slow orderly change,mixed,/service/ndnp/dlc/batch_dlc_greece_ver02/data/sn83030214/00175040869/1900052701/0517.xml,1900-05-27,new-york tribune (new york [n.y.]) 1866-1924,full_page,improve,improve,NBER,1.0,True,,12.0,default,,,,,,,,,,,,,121.096,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Bankers report business excellent nil over the country, with no prospect of cessation for several years.",general_business,improve,na,na,vague,assertive,expert,Bankers,national,False,na,na,good,/service/ndnp/iahi/batch_iahi_carson_ver01/data/sn85049554/00416159324/1900042101/0147.xml,1900-04-21,"evening times-republican (marshalltown, iowa) 1890-1923",full_page,improve,improve,NBER,1.0,True,,12.0,default,,,,,,,,,,,,,117.4808,0,0,0,0,0,0,0,0,0,0,0,0,0,1
He will find that the foreign demand is running heavy ... prospects that it will further increase.,markets,improve,na,na,vague,hedged,expert,na,national,False,na,current heavy foreign demand,good,/service/ndnp/iahi/batch_iahi_carson_ver01/data/sn85049554/00416159324/1900042101/0147.xml,1900-04-21,"evening times-republican (marshalltown, iowa) 1890-1923",full_page,improve,improve,NBER,1.0,True,,12.0,default,,,,,,,,,,,,,117.4808,0,0,0,0,0,0,0,0,0,0,0,0,0,1
the United States may see a return of the boom times enjoyed a year ago.,general_business,improve,up,down,vague,hedged,journalist,na,national,False,na,election out of the way,bad,/service/ndnp/mthi/batch_mthi_jewelwing_ver01/data/sn85053057/00295860285/1900061501/0364.xml,1900-06-15,"daily inter mountain (butte, mont.) 1881-1901",full_page,improve,improve,NBER,1.0,True,,12.0,default,,,,,,,,,,,,,139.1732,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The oourse of tbe market will be controlled by tbe weather ad* vioes. Clearing weather would fiod tbe marketa without support aa the abort interest appears to have oovered duriog tbo past two days. Continued wet weather would attract tbe trade wbo have not bought,markets,improve,na,na,vague,hedged,journalist,na,national,False,clearing weather or continued wet weather,weather influences market activity,mixed,/service/ndnp/scu/batch_scu_felicitylane_ver01/data/sn93067846/00294550999/1900062702/0284.xml,1900-06-27,"the watchman and southron (sumter, s.c.) 1881-1930",full_page,improve,improve,NBER,1.0,True,,12.0,default,,,,,,,,,,,,,139.1732,0,0,0,0,0,0,0,0,0,0,0,0,0,1
the election of a demooratio president could not fail to ImpaiB the countrys credit and to bring once more into ques tion the intention of the American peo pie to maintain upon the gold Btandard the parity of their money circulation,general_business,worsen,na,na,vague,assertive,journalist,na,national,False,election of a demooratio president,credit will be impaired,good,/service/ndnp/dlc/batch_dlc_chester_ver02/data/sn83027091/00211103528/1900063001/0441.xml,1900-06-30,"the colored american (washington, d.c.) 1893-19??",full_page,worsen,improve,NBER,0.0,True,,12.0,default,,,,,,,,,,,,,139.1732,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The national de fense and naval efficiency of this country moreover supply a compelling reason for legislation which will enable us to recover our former place among the trade earring fleets of the world,general_business,improve,na,na,vague,assertive,journalist,na,national,False,legislation,defense and naval efficiency provide reason,bad,/service/ndnp/dlc/batch_dlc_chester_ver02/data/sn83027091/00211103528/1900063001/0441.xml,1900-06-30,"the colored american (washington, d.c.) 1893-19??",full_page,improve,improve,NBER,1.0,True,,12.0,default,,,,,,,,,,,,,139.1732,0,0,0,0,0,0,0,0,0,0,0,0,0,1
If the democrats are going to make free silver the issue they will renew the calamity cry and we shall hear from the calamity orators about the depression in business and the great disasters to come.,general_business,worsen,na,na,vague,hedged,expert,E. H. Gary,national,True,democrats make free silver,political issue will cause calamity,mixed,/service/ndnp/nbu/batch_nbu_fairbury_ver01/data/sn96080161/00206539227/1900071201/0018.xml,1900-07-12,"the conservative (nebraska city, neb.) 1898-1902",full_page,worsen,improve,NBER,0.0,True,,12.0,default,,,,,,,,,,,,,138.2354,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"the outlook is that an export of 132.Wi0,000 to 150.000.000 bushels will be pos sible without reducing visible and farm supplies materially from the totals esti mated held on July 1.",markets,improve,na,na,vague,assertive,expert,Bradstreet,national,True,na,na,mixed,/service/ndnp/mnhi/batch_mnhi_nisswa_ver01/data/sn90059523/0020653400A/1900072101/0222.xml,1900-07-21,"the saint paul globe (st. paul, minn.) 1896-1905",full_page,improve,improve,NBER,1.0,True,,12.0,default,,,,,,,,,,,,,138.2354,0,0,0,0,0,0,0,0,0,0,0,0,0,1
business conditions continue steady and comparatively unaf fected.,general_business,improve,na,na,vague,assertive,journalist,na,national,False,na,na,bad,/service/ndnp/sdhi/batch_sdhi_eagle_ver01/data/sn2001063133/00415623288/1900090601/0344.xml,1900-09-06,"turner county herald (hurley, dakota [s.d.]) 1883-19??",full_page,improve,improve,NBER,1.0,True,,12.0,default,,,,,,,,,,,,,124.9905,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"It is estimated that 100,000 miles of new railroad will be built in the United States in the next 15 years, and the extent to which the trolley will spread out is beyond calculation",other,improve,na,na,vague,assertive,unclear,na,national,False,na,na,na,/service/ndnp/khi/batch_khi_finney_ver02/data/sn83040198/00212473534/1900081001/0155.xml,1900-08-10,"barton county democrat (great bend, kan.) 1885-1915",full_page,improve,improve,NBER,1.0,True,,12.0,default,,,,,,,,,,,,,134.008,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"the outlook as to corn is for a 2,100,000,000 bushel crop, spring wheat is turning out better-in quality and quantity then expected",other,improve,na,na,vague,assertive,unclear,na,national,False,na,na,na,/service/ndnp/khi/batch_khi_finney_ver02/data/sn83040198/00212473534/1900081001/0155.xml,1900-08-10,"barton county democrat (great bend, kan.) 1885-1915",full_page,improve,improve,NBER,1.0,True,,12.0,default,,,,,,,,,,,,,134.008,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Business Conditions and Out look Are Bright for the Fall Season.,general_business,improve,na,na,vague,assertive,journalist,na,national,False,na,na,mixed,/service/ndnp/iahi/batch_iahi_carson_ver01/data/sn85049554/00416159336/1900082501/0183.xml,1900-08-25,"evening times-republican (marshalltown, iowa) 1890-1923",full_page,improve,improve,NBER,1.0,True,,6.0,inferred_short,,,,,,,,,,,,,134.008,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The consumption of iron and steel will reach large figures during the next twelve months probably not very much under those of the last like period.,general_business,improve,na,na,12,assertive,journalist,na,national,False,na,na,mixed,/service/ndnp/dlc/batch_dlc_greece_ver02/data/sn83030214/00175040894/1900071301/0246.xml,1900-07-13,new-york tribune (new york [n.y.]) 1866-1924,full_page,improve,improve,NBER,1.0,True,,12.0,stated,,,,,,,,,,,,,138.2354,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Should the withdrawal of vessels from trade service continue for a while longer, it has in the pa-et month or two. there will be something approximating a cor ner in freight room.",general_business,worsen,na,na,vague,assertive,journalist,na,national,False,withdrawal of vessels continues,shipping shortage reduces freight capacity,bad,/service/ndnp/gu/batch_gu_gadget_ver01/data/sn89053684/00414182306/1900082701/1341.xml,1900-08-27,"the savannah morning news (savannah, ga.) 1900-current",full_page,worsen,improve,NBER,0.0,True,,12.0,default,,,,,,,,,,,,,134.008,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"A fairly stronger undertone prevails, and in the absence of unfavorable developments a more active market may be reasonably expected after awhile.",markets,improve,na,na,vague,hedged,journalist,na,national,False,absence of unfavorable developments,stronger undertone leads to activity,mixed,/service/ndnp/gu/batch_gu_gadget_ver01/data/sn89053684/00414182306/1900082701/1341.xml,1900-08-27,"the savannah morning news (savannah, ga.) 1900-current",full_page,improve,improve,NBER,1.0,True,,12.0,default,,,,,,,,,,,,,134.008,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"There will come a time when Con gnss will see that there is no economy In putting the nation ta the hands of a trust, but will provide tlie means for die United States to do her own «hip constructions, making her own armor plate and casting her own guns and becoming her own manufacturer. It well be more eciomnirul, more satis factory. more just to labor, more every way the tiling for n country like this Texas may have been in a better con oition it.",general_business,improve,na,na,vague,hedged,journalist,na,national,False,na,self‑sufficiency leads to better economy,mixed,/service/ndnp/txdn/batch_txdn_frisco_ver01/data/sn86090439/00517175377/1900082201/0877.xml,1900-08-22,"san antonio daily light (san antonio, tex.) 1886-1907",full_page,improve,improve,NBER,1.0,True,,12.0,default,,,,,,,,,,,,,134.008,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"There will be no money panic this autumn, as there was last.",markets,improve,na,na,vague,assertive,journalist,na,national,False,na,na,mixed,/service/ndnp/dlc/batch_dlc_charlie_ver03/data/sn84024441/100492088/1900082201/0122.xml,1900-08-22,"the evening times (washington, d.c.) 1895-1902",full_page,improve,improve,NBER,1.0,True,,6.0,inferred_short,,,,,,,,,,,,,134.008,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"It is likely, and almost certain, to be a hardering of rates in the near future.",markets,worsen,up,na,vague,hedged,journalist,na,national,False,na,na,mixed,/service/ndnp/dlc/batch_dlc_charlie_ver03/data/sn84024441/100492088/1900082201/0122.xml,1900-08-22,"the evening times (washington, d.c.) 1895-1902",full_page,worsen,improve,NBER,0.0,True,,6.0,inferred_short,,,,,,,,,,,,,134.008,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The result will be a tightening of rates.,markets,worsen,up,na,vague,assertive,journalist,na,national,False,na,na,mixed,/service/ndnp/dlc/batch_dlc_charlie_ver03/data/sn84024441/100492088/1900082201/0122.xml,1900-08-22,"the evening times (washington, d.c.) 1895-1902",full_page,worsen,improve,NBER,0.0,True,,12.0,default,,,,,,,,,,,,,134.008,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The feeling grows stronger that bottom has been reached. ... there is already a tendency toward a higher level.,markets,improve,up,na,vague,hedged,journalist,na,national,False,na,bottom reached,bad,/service/ndnp/mnhi/batch_mnhi_plymouth_ver01/data/sn90059523/00206534011/1900092901/0316.xml,1900-09-29,"the saint paul globe (st. paul, minn.) 1896-1905",full_page,improve,improve,NBER,1.0,True,,12.0,default,,,,,,,,,,,,,124.9905,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"A change of government now would inevitably bring the depression by a repeal of the protective tariff, and panic would result from a threatened destruction of the gold standard.",general_business,worsen,na,na,vague,assertive,journalist,na,national,False,change of government,repeal of protective tariff and gold standard threat,good,/service/ndnp/deu/batch_deu_bear_ver01/data/sn85042354/00383343434/1900102301/0884.xml,1900-10-23,"evening journal (wilmington, del.) 1888-1932",full_page,worsen,improve,NBER,0.0,True,,12.0,default,,,,,,,,,,,,,139.0477,0,0,0,0,0,0,0,0,0,0,0,0,0,1
the business world would tear further free silver legislation and ft panic would be upon us.,markets,worsen,up,na,vague,hedged,journalist,na,national,False,if Bryan elected democratic house,free silver legislation,mixed,/service/ndnp/iahi/batch_iahi_carson_ver01/data/sn85049554/00416159336/1900102901/0619.xml,1900-10-29,"evening times-republican (marshalltown, iowa) 1890-1923",full_page,worsen,improve,NBER,0.0,True,,12.0,default,,,,,,,,,,,,,139.0477,0,0,0,0,0,0,0,0,0,0,0,0,0,1
the dullness of the stock market will continue for some time longer probably through September at least,markets,worsen,na,na,vague,hedged,journalist,na,national,False,na,na,bad,/service/ndnp/dlc/batch_dlc_barack_ver01/data/sn85054468/100492970/1900090201/0381.xml,1900-09-02,the times (washington [d.c.]) 1897-1901,full_page,worsen,improve,NBER,0.0,True,,24.0,inferred_long,,,,,,,,,,,,,124.9905,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The outlook Is for a continuance of the stupid market for some time to come and even perhaps lor small recessions,markets,worsen,na,na,vague,hedged,journalist,na,national,False,na,na,bad,/service/ndnp/dlc/batch_dlc_barack_ver01/data/sn85054468/100492970/1900090201/0381.xml,1900-09-02,the times (washington [d.c.]) 1897-1901,full_page,worsen,improve,NBER,0.0,True,,24.0,inferred_long,,,,,,,,,,,,,124.9905,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Do you want a panic in 1001-4 far worse than that of 1803-90?,general_business,worsen,na,na,vague,assertive,journalist,na,national,False,if vote Bryan,change of tariff and money policy,good,/service/ndnp/nbu/batch_nbu_indigobunting_ver01/data/2023271001/00542866111/1900110201/0097.xml,1900-11-02,"the gordon journal (gordon, sheridan county, neb.) 1891-1917",full_page,worsen,improve,NBER,0.0,True,,12.0,default,,,,,,,,,,,,,128.9671,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"If so, vote for Bryan and you will get it.",general_business,worsen,na,up,vague,assertive,layperson,na,national,False,vote for Bryan,return to causes of panic,good,/service/ndnp/sdhi/batch_sdhi_corsair_ver06/data/sn96090259/00415623161/1900110201/0987.xml,1900-11-02,"hot springs weekly star (hot springs, s.d.) 1892-1917",full_page,worsen,improve,NBER,0.0,True,,12.0,default,,,,,,,,,,,,,128.9671,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The election of Bryan would mean a return to nil the causes which led to that panic.,general_business,worsen,na,up,vague,assertive,journalist,na,national,False,election of Bryan,return to panic causes,good,/service/ndnp/sdhi/batch_sdhi_corsair_ver06/data/sn96090259/00415623161/1900110201/0987.xml,1900-11-02,"hot springs weekly star (hot springs, s.d.) 1892-1917",full_page,worsen,improve,NBER,0.0,True,,12.0,default,,,,,,,,,,,,,128.9671,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Do you want idleness and starvation mid millions subsisting on charity just as they did in 1890? If so, vote for Bryan and you will get it.",general_business,worsen,na,up,vague,assertive,layperson,na,national,False,vote for Bryan,policy change causes idleness,good,/service/ndnp/sdhi/batch_sdhi_corsair_ver06/data/sn96090259/00415623161/1900110201/0987.xml,1900-11-02,"hot springs weekly star (hot springs, s.d.) 1892-1917",full_page,worsen,improve,NBER,0.0,True,,12.0,default,,,,,,,,,,,,,128.9671,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Financial outlook is good.,general_business,improve,na,na,vague,assertive,journalist,na,national,False,na,na,na,/service/ndnp/ct/batch_ct_butternut_ver01/data/sn84020358/00415668211/1900121701/1276.xml,1900-12-17,"the daily morning journal and courier (new haven, conn.) 1894-1907",full_page,improve,improve,NBER,1.0,True,,12.0,default,,,,,,,,,,,,,86.68908,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"The premium Incomo from new business to bo written during 1901 It Is estimated will bo mimclent to cover the cost of placing the business, meeting death claims, reinsur ance, expenses of management and will yield qulto n sum nddltlonnl for surplus.",general_business,improve,na,na,12,hedged,expert,na,national,False,na,na,mixed,/service/ndnp/nbu/batch_nbu_julius_ver01/data/sn99021999/00237284999/1901012701/0324.xml,1901-01-27,omaha daily bee (omaha [neb.]) 187?-1922,full_page,improve,improve,NBER,1.0,True,,12.0,stated,,,,,,,,,,,,,140.8519,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"There can be no question that the country has entered upon an era of prosperity that will probably prove to be without a precedent in history, and which will place the United States at the head of the nations of the world.",general_business,improve,na,na,vague,assertive,expert,Frank Tilford,national,True,na,era of prosperity will continue,good,/service/ndnp/vi/batch_vi_albion_ver01/data/sn85034438/00175045612/1900120901/0561.xml,1900-12-09,"the times (richmond, va.) 1890-1903",full_page,improve,improve,NBER,1.0,True,,12.0,default,,,,,,,,,,,,,86.68908,0,0,0,0,0,0,0,0,0,0,0,0,0,1
There is no danger of a setback to our prosperity. We must continue to grow and prosper.,general_business,improve,na,na,vague,assertive,expert,Frank Tilford,national,True,na,no danger of setback,good,/service/ndnp/vi/batch_vi_albion_ver01/data/sn85034438/00175045612/1900120901/0561.xml,1900-12-09,"the times (richmond, va.) 1890-1903",full_page,improve,improve,NBER,1.0,True,,12.0,default,,,,,,,,,,,,,86.68908,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"the report predicts, soon will fall behind in the struggle, first, for leadership, and then for equality with the other services.",general_business,worsen,na,na,vague,assertive,expert,Admiral Crowninshield,national,True,na,na,bad,/service/ndnp/au/batch_au_capote_ver01/data/sn86072192/00340583127/1900111201/0408.xml,1900-11-12,"the age-herald (birmingham, ala.) 1897-1902",full_page,worsen,improve,NBER,0.0,True,,6.0,inferred_short,,,,,,,,,,,,,128.9671,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Speculation in cotton today was very small, but the tone of the market was better because the Liverpool market did not respond to our decline as the trad here expected and ... belief in better trade conditions in the near future.",markets,improve,na,na,vague,hedged,journalist,na,national,False,na,na,bad,/service/ndnp/au/batch_au_capote_ver01/data/sn86072192/00340583139/1901011901/0170.xml,1901-01-19,"the age-herald (birmingham, ala.) 1897-1902",full_page,improve,improve,NBER,1.0,True,,6.0,inferred_short,,,,,,,,,,,,,140.8519,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Basing the estimate for the year upon tbe eleven months' actual figures already received by-tbe Treasury Bureau of Statiatica, it seems probable that tbe exports of tbe calendar year 1900 will reach about $1,470,000,000, and tbe im- , porta $825,000,000, making tbe excess of exports over import* or favorable balance $645,000,000, a sum greater by $35,000,010 than that of any preceding year.",markets,improve,na,na,vague,assertive,official,na,national,True,na,based on eleven months actual figures,mixed,/service/ndnp/idhi/batch_idhi_irving_ver01/data/sn89055114/00295867863/1900122901/0315.xml,1900-12-29,"lewiston daily teller (lewiston, idaho) 1900-1901",full_page,improve,improve,NBER,1.0,True,,12.0,default,,,,,,,,,,,,,86.68908,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"the general tendency ot ihe market has been upward, with many notable advances recorded. ... all Indications point lo an exceeding prosperity and a high level of vaine for an Indefinite time.",markets,improve,up,na,vague,assertive,journalist,na,national,False,na,indications of stability,good,/service/ndnp/deu/batch_deu_bear_ver01/data/sn85042354/00383343446/1901011201/0052.xml,1901-01-12,"evening journal (wilmington, del.) 1888-1932",full_page,improve,improve,NBER,1.0,True,,12.0,default,,,,,,,,,,,,,140.8519,0,0,0,0,0,0,0,0,0,0,0,0,0,1
It is a certainty that it will extend much further In the near fu ture.,markets,improve,up,na,vague,assertive,expert,Morgan,national,True,na,na,bad,/service/ndnp/dlc/batch_dlc_dutch_ver02/data/sn85054468/00211102299/1901032401/0176.xml,1901-03-24,the times (washington [d.c.]) 1897-1901,full_page,improve,improve,NBER,1.0,True,,12.0,default,,,,,,,,,,,,,168.2532,0,0,0,0,0,0,0,0,0,0,0,0,0,1
There is an excellent probability that Sugar stock will have a good advance in the ncai tuture.,markets,improve,up,na,vague,hedged,journalist,na,national,False,na,na,mixed,/service/ndnp/dlc/batch_dlc_dutch_ver02/data/sn85054468/00211102299/1901032401/0176.xml,1901-03-24,the times (washington [d.c.]) 1897-1901,full_page,improve,improve,NBER,1.0,True,,12.0,default,,,,,,,,,,,,,168.2532,0,0,0,0,0,0,0,0,0,0,0,0,0,1
the boom will continue.,general_business,improve,up,na,vague,assertive,expert,Morgan,national,True,na,na,bad,/service/ndnp/dlc/batch_dlc_dutch_ver02/data/sn85054468/00211102299/1901032401/0176.xml,1901-03-24,the times (washington [d.c.]) 1897-1901,full_page,improve,improve,NBER,1.0,True,,12.0,default,,,,,,,,,,,,,168.2532,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"What the result of this crash will be, it is difficult to fore cast. It quite likely to afford a very ef fective check to crazy bull speculation.",markets,improve,na,na,vague,hedged,expert,Henry Clews,national,True,na,to check crazy bull speculation,mixed,/service/ndnp/iahi/batch_iahi_carson_ver01/data/sn85049554/0041615935A/1901051301/0309.xml,1901-05-13,"evening times-republican (marshalltown, iowa) 1890-1923",full_page,improve,improve,NBER,1.0,True,,12.0,default,,,,,,,,,,,,,116.819,0,0,0,0,0,0,0,0,0,0,0,0,0,1
