quote,topic,direction,price_direction,unemployment_direction,horizon_months,confidence,voice,speaker_name,scope,is_quoted_forecaster,conditional_on,page_id,date,publisher,source_text_type,predicted_norm,realized,basis,hit,scorable,unscorable_reason,horizon_used,horizon_basis,ip_growth_6m,ip_growth_12m,ip_accel,ip_gap,cpi_yoy,cpi_accel,unrate,unrate_d6,stock_ret6,stock_ret12,stock_vol6,stock_drawdown,epu,hindsight_in_recession,has_ip_growth_6m,has_ip_growth_12m,has_ip_accel,has_ip_gap,has_cpi_yoy,has_cpi_accel,has_unrate,has_unrate_d6,has_stock_ret6,has_stock_ret12,has_stock_vol6,has_stock_drawdown,has_epu
"We, in the United States, are going to get only about three-quarters of what we raise this year, according to unofficial estimates.",other,worsen,na,na,6,hedged,journalist,na,national,True,na,/service/ndnp/nbu/batch_nbu_devilscorkscrew_ver04/data/2010270509/00279527732/1945090601/0077.xml,1945-09-06,"the frontier (o'neill city, holt county, neb.) 1880-1965",full_page,worsen,flat,INDPRO,0.0,True,,6.0,stated,-9.70382179221715,-10.731624839979713,1.0278030477625624,-5.075024929636452,2.2598870056497296,1.1108995112042108,,,13.320586360739327,22.56997104646354,2.5203392882976736,0.0,175.7764,1,1,1,1,1,1,1,0,0,1,1,1,1,1
Look for the end of practically all rationing by the end of the year.,general_business,improve,na,na,6,assertive,journalist,na,national,False,na,/service/ndnp/nbu/batch_nbu_devilscorkscrew_ver04/data/2010270509/00279527732/1945092001/0094.xml,1945-09-20,"the frontier (o'neill city, holt county, neb.) 1880-1965",full_page,improve,flat,INDPRO,0.0,True,,6.0,stated,-9.70382179221715,-10.731624839979713,1.0278030477625624,-5.075024929636452,2.2598870056497296,1.1108995112042108,,,13.320586360739327,22.56997104646354,2.5203392882976736,0.0,175.7764,1,1,1,1,1,1,1,0,0,1,1,1,1,1
Experts on Capitol Hill now are pretty definite in their forecast* for a reduction of income taxes on 1946 incomes.,other,improve,na,na,6,assertive,expert,na,national,True,na,/service/ndnp/nbu/batch_nbu_devilscorkscrew_ver04/data/2010270509/00279527732/1945092001/0094.xml,1945-09-20,"the frontier (o'neill city, holt county, neb.) 1880-1965",full_page,improve,flat,INDPRO,0.0,True,,6.0,stated,-9.70382179221715,-10.731624839979713,1.0278030477625624,-5.075024929636452,2.2598870056497296,1.1108995112042108,,,13.320586360739327,22.56997104646354,2.5203392882976736,0.0,175.7764,1,1,1,1,1,1,1,0,0,1,1,1,1,1
"tiie problem of unemployment, of lower wages, if only for n short temporary period is predicted will slash the national Income from approximately 102 billions as of now to around 112 billions annually as of January 1, KMC.",general_business,worsen,na,up,6,hedged,journalist,na,national,True,na,/service/ndnp/nbu/batch_nbu_devilscorkscrew_ver04/data/2010270509/00279527732/1945092001/0094.xml,1945-09-20,"the frontier (o'neill city, holt county, neb.) 1880-1965",full_page,worsen,flat,INDPRO,0.0,True,,6.0,stated,-9.70382179221715,-10.731624839979713,1.0278030477625624,-5.075024929636452,2.2598870056497296,1.1108995112042108,,,13.320586360739327,22.56997104646354,2.5203392882976736,0.0,175.7764,1,1,1,1,1,1,1,0,0,1,1,1,1,1
"As experts looked for the erection of 500,000 private dwellings next year and a peak of BOO.000 in 1948, officials sought to increase the supply of scarce building materials, permitting wage and price boosts and priorities to break bottlenecks, if necessary.",general_business,improve,na,na,12,hedged,expert,experts,national,True,na,/service/ndnp/nbu/batch_nbu_devilscorkscrew_ver04/data/2010270509/00279527732/1945100401/0109.xml,1945-10-04,"the frontier (o'neill city, holt county, neb.) 1880-1965",full_page,improve,improve,INDPRO,1.0,True,,12.0,stated,-18.812239170001412,-21.02731315347107,2.215073983469658,-15.049921182552842,2.2598870056497296,1.1108995112042108,,,15.50368243664961,25.566562627222154,2.4829181927560673,0.0,180.6166,1,1,1,1,1,1,1,0,0,1,1,1,1,1
"Though the senate and house had yet to compromise their differences, John Q. Public could look forward to substantial reductions in income taxes in 1946, and American business was assured generous relief for the immediate postwar period.",general_business,improve,na,na,12,assertive,journalist,na,national,False,na,/service/ndnp/nbu/batch_nbu_devilscorkscrew_ver04/data/2010270509/00279527732/1945110801/0153.xml,1945-11-08,"the frontier (o'neill city, holt county, neb.) 1880-1965",full_page,improve,improve,INDPRO,1.0,True,,12.0,stated,-25.58172531214529,-27.62522423071616,2.0434989185708687,-22.545827031371772,2.2598870056497296,1.1108995112042108,,,14.005298651252401,28.94306728411877,2.48011926369266,0.0,132.1324,0,1,1,1,1,1,1,0,0,1,1,1,1,1
"With foreign countries expected to possess 30 billion dollars in ex- pe idable assets by the end of 1945, possibilities for a heavy postwar American export trade loom large",general_business,improve,na,na,vague,hedged,expert,na,national,True,na,/service/ndnp/nbu/batch_nbu_devilscorkscrew_ver04/data/2010270509/00279527732/1945112201/0169.xml,1945-11-22,"the frontier (o'neill city, holt county, neb.) 1880-1965",full_page,improve,improve,INDPRO,1.0,True,,12.0,default,-25.58172531214529,-27.62522423071616,2.0434989185708687,-22.545827031371772,2.2598870056497296,1.1108995112042108,,,14.005298651252401,28.94306728411877,2.48011926369266,0.0,132.1324,0,1,1,1,1,1,1,0,0,1,1,1,1,1
As nearly as can be judged. So cial Security officials see a crisis by 1947 if there are not enough jobs.,general_business,worsen,na,up,vague,hedged,official,na,national,True,if there are not enough jobs,/service/ndnp/nbu/batch_nbu_devilscorkscrew_ver04/data/2010270509/00279527732/1945122001/0198.xml,1945-12-20,"the frontier (o'neill city, holt county, neb.) 1880-1965",full_page,worsen,improve,INDPRO,0.0,True,,12.0,default,-27.2423370323359,-30.757086472909947,3.5147494405740467,-25.45932452669524,2.2598870056497296,1.1108995112042108,,,15.413218183999033,28.361792956243338,2.4319396513353806,0.0,138.8721,0,1,1,1,1,1,1,0,0,1,1,1,1,1
It will be a difficult period for most industries.,general_business,worsen,na,na,vague,assertive,journalist,na,national,False,na,/service/ndnp/ncu/batch_ncu_kale_ver01/data/2017236974/00279558078/1945112901/1102.xml,1945-11-29,"roanoke rapids herald (roanoke rapids, n.c.) 1931-1948",full_page,worsen,improve,INDPRO,0.0,True,,12.0,default,-25.58172531214529,-27.62522423071616,2.0434989185708687,-22.545827031371772,2.2598870056497296,1.1108995112042108,,,14.005298651252401,28.94306728411877,2.48011926369266,0.0,132.1324,0,1,1,1,1,1,1,0,0,1,1,1,1,1
"Serious deflation. Mr. Reuther warned, would be the inevitable result if workers’ take-home pay, which has been reduced 30 per eent by reduction to a 40-hour week, is not maintained.",general_business,worsen,down,na,vague,assertive,expert,Walter P. Reuther,national,True,workers' take-home pay is not maintained,/service/ndnp/mimtptc/batch_mimtptc_dexter_ver01/data/42047197/00340588678/1945090101/0327.xml,1945-09-01,"united automobile worker (detroit, mich.) 1936-1957",full_page,worsen,flat,INDPRO,0.0,True,,6.0,inferred_short,-9.70382179221715,-10.731624839979713,1.0278030477625624,-5.075024929636452,2.2598870056497296,1.1108995112042108,,,13.320586360739327,22.56997104646354,2.5203392882976736,0.0,175.7764,1,1,1,1,1,1,1,0,0,1,1,1,1,1
Corporate profits stand to be surprisingly good in 1946.,general_business,improve,na,na,12,assertive,expert,Business Week,national,True,na,/service/ndnp/mimtptc/batch_mimtptc_dexter_ver01/data/42047197/00340588678/1945100101/0351.xml,1945-10-01,"united automobile worker (detroit, mich.) 1936-1957",full_page,improve,improve,INDPRO,1.0,True,,12.0,stated,-18.812239170001412,-21.02731315347107,2.215073983469658,-15.049921182552842,2.2598870056497296,1.1108995112042108,,,15.50368243664961,25.566562627222154,2.4829181927560673,0.0,180.6166,1,1,1,1,1,1,1,0,0,1,1,1,1,1
"The total might quite con ceivably top 1944’s $10,000,000,- 000 by a slight margin.",general_business,improve,na,na,12,hedged,expert,Business Week,national,True,na,/service/ndnp/mimtptc/batch_mimtptc_dexter_ver01/data/42047197/00340588678/1945100101/0351.xml,1945-10-01,"united automobile worker (detroit, mich.) 1936-1957",full_page,improve,improve,INDPRO,1.0,True,,12.0,stated,-18.812239170001412,-21.02731315347107,2.215073983469658,-15.049921182552842,2.2598870056497296,1.1108995112042108,,,15.50368243664961,25.566562627222154,2.4829181927560673,0.0,180.6166,1,1,1,1,1,1,1,0,0,1,1,1,1,1
The business outlook for 1946 includes large profits out of which higher wages can be paid.,general_business,improve,na,na,12,assertive,journalist,na,national,False,na,/service/ndnp/mimtptc/batch_mimtptc_dexter_ver01/data/42047197/00340588678/1945100101/0351.xml,1945-10-01,"united automobile worker (detroit, mich.) 1936-1957",full_page,improve,improve,INDPRO,1.0,True,,12.0,stated,-18.812239170001412,-21.02731315347107,2.215073983469658,-15.049921182552842,2.2598870056497296,1.1108995112042108,,,15.50368243664961,25.566562627222154,2.4829181927560673,0.0,180.6166,1,1,1,1,1,1,1,0,0,1,1,1,1,1
unless proper corrective action is taken promptly the present minor recession may develop into a major one.,general_business,worsen,na,na,vague,hedged,expert,na,national,True,unless proper corrective action is taken promptly,/service/ndnp/mimtptc/batch_mimtptc_dexter_ver01/data/42047197/00340588678/1949060101/0769.xml,1949-06-01,"united automobile worker (detroit, mich.) 1936-1957",full_page,worsen,improve,INDPRO,0.0,True,,12.0,default,-6.445898903684256,-3.969897575940526,-2.47600132774373,-0.6447593111234095,0.42016806722688177,-4.518528722964588,5.3,1.5999999999999996,-6.088739534088966,-13.462446858762402,1.9469129131405194,-13.462446858762402,75.83322,1,1,1,1,1,1,1,1,1,1,1,1,1,1
all suggest recession in 1949 and one that might snowball un less strong measures are taken.,general_business,worsen,na,na,12,hedged,expert,Seymour Harris,national,True,unless strong measures are taken,/service/ndnp/mimtptc/batch_mimtptc_dexter_ver01/data/42047197/00340588678/1949060101/0769.xml,1949-06-01,"united automobile worker (detroit, mich.) 1936-1957",full_page,worsen,improve,INDPRO,0.0,True,,12.0,stated,-6.445898903684256,-3.969897575940526,-2.47600132774373,-0.6447593111234095,0.42016806722688177,-4.518528722964588,5.3,1.5999999999999996,-6.088739534088966,-13.462446858762402,1.9469129131405194,-13.462446858762402,75.83322,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"A cut of five or ten billion in fed eta! spending now to balance the budget, he says, might cut national income 23 to 30 billion dollars, which would mean a serious depression",general_business,worsen,na,na,vague,hedged,expert,Seymour Harris,national,True,cut in federal spending,/service/ndnp/mimtptc/batch_mimtptc_dexter_ver01/data/42047197/00340588678/1949060101/0769.xml,1949-06-01,"united automobile worker (detroit, mich.) 1936-1957",full_page,worsen,improve,INDPRO,0.0,True,,12.0,default,-6.445898903684256,-3.969897575940526,-2.47600132774373,-0.6447593111234095,0.42016806722688177,-4.518528722964588,5.3,1.5999999999999996,-6.088739534088966,-13.462446858762402,1.9469129131405194,-13.462446858762402,75.83322,1,1,1,1,1,1,1,1,1,1,1,1,1,1
The mere issuance of bonds to the banks or to the people who will have to take the money out of the banks to get the bonds or certificates will -not relieve the trouble.,general_business,no_change,na,na,vague,assertive,journalist,Willis J. Abbot,national,False,na,/service/ndnp/nbu/batch_nbu_carson_ver02/data/46032385/00237284896/1907112901/0116.xml,1907-11-29,"the commoner (lincoln, neb.) 1901-1923",full_page,flat,worsen,NBER,0.0,True,,12.0,default,,,,,,,,,,,,,63.27158,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Mr. Ogdon Armour is re;orted as taking an optimistic view of the business outlook.,general_business,improve,na,na,vague,hedged,expert,Ogden Armour,national,True,na,/service/ndnp/nbu/batch_nbu_carson_ver02/data/46032385/00237284896/1908041701/0441.xml,1908-04-17,"the commoner (lincoln, neb.) 1901-1923",full_page,improve,improve,NBER,1.0,True,,12.0,default,,,,,,,,,,,,,91.06293,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"We approve moBt heartily tho establishment of tho tariff commission, which will render unnecessary In tho futuro a goneral revision of tho tariff with its attondant business depression.",general_business,improve,na,na,vague,assertive,official,na,national,True,na,/service/ndnp/nbu/batch_nbu_carson_ver02/data/46032385/00237284902/1910101401/1216.xml,1910-10-14,"the commoner (lincoln, neb.) 1901-1923",full_page,improve,worsen,NBER,0.0,True,,12.0,default,,,,,,,,,,,,,75.68314,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"One of the most common-sense predictions is the Joint Committee on the Economic Report’s forecast of another boom year, labeling as “premature” the talk of recession or depression.",general_business,improve,na,na,12,assertive,official,Joint Committee on the Economic Report,national,True,na,/service/ndnp/ohi/batch_ohi_myrtle_ver01/data/56022775/00541313400/1949031901/0027.xml,1949-03-19,"trainman news (indianapolis, ind.) 1947-1968",full_page,improve,improve,INDPRO,1.0,True,,12.0,stated,-3.4860822459200684,-1.313369192608898,-2.1727130533111705,4.3708494525683905,1.2658227848101296,-4.544511309400282,4.3,0.6999999999999997,-2.5570068629621456,2.7787507297139467,1.943899209256212,-7.594604524221907,78.9222,1,1,1,1,1,1,1,1,1,1,1,1,1,1
the downward trend will continue until the last quarter- of ’50 when production will be 15 per cent below the ’48 average.,general_business,worsen,na,na,vague,assertive,expert,Charles E. Wilson,national,True,na,/service/ndnp/ohi/batch_ohi_myrtle_ver01/data/56022775/00541313400/1949062001/0130.xml,1949-06-20,"trainman news (indianapolis, ind.) 1947-1968",full_page,worsen,improve,INDPRO,0.0,True,,12.0,default,-6.445898903684256,-3.969897575940526,-2.47600132774373,-0.6447593111234095,0.42016806722688177,-4.518528722964588,5.3,1.5999999999999996,-6.088739534088966,-13.462446858762402,1.9469129131405194,-13.462446858762402,75.83322,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"it will start upward again, reaching 1918 levels by the end of 1951.",general_business,improve,na,na,vague,assertive,expert,Charles E. Wilson,national,True,na,/service/ndnp/ohi/batch_ohi_myrtle_ver01/data/56022775/00541313400/1949062001/0130.xml,1949-06-20,"trainman news (indianapolis, ind.) 1947-1968",full_page,improve,improve,INDPRO,1.0,True,,12.0,default,-6.445898903684256,-3.969897575940526,-2.47600132774373,-0.6447593111234095,0.42016806722688177,-4.518528722964588,5.3,1.5999999999999996,-6.088739534088966,-13.462446858762402,1.9469129131405194,-13.462446858762402,75.83322,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Business profits and war workers'
comes will be reduced in the new
fiscal year by a 20-billion-dollar
Ansh in government war spending,
according to the Budget bureau.",general_business,worsen,na,na,12,assertive,official,Budget bureau,national,True,na,/service/ndnp/mimtptc/batch_mimtptc_jerome_ver02/data/77618337/00414188199/1945080601/0001.xml,1945-08-06,"automotive news (detroit, mich.;detroit, mi) 1938-current",full_page,worsen,worsen,INDPRO,1.0,True,,12.0,stated,-8.468866241267728,-8.76629248706849,0.2974262458007626,-2.3799175324090034,2.840909090909091,0.5298774259448495,,,6.887332908975171,14.285714285714272,1.820464206839302,0.0,207.7068,1,1,1,1,1,1,1,0,0,1,1,1,1,1
The business outlook appears to be good in every section.,general_business,improve,na,na,vague,hedged,official,Franklin K. Lane,national,True,na,/service/ndnp/dlc/batch_dlc_antelope_ver01/data/ca06001655/00543171670/1920092401/0728.xml,1920-09-24,"the indian leader (lawrence, kan.) 1897-????",full_page,improve,worsen,INDPRO,0.0,True,,12.0,default,-6.2207928356936035,1.031796167614227,-7.252589003307831,,19.540229885057485,-3.996188434280283,,,-11.689637570188873,-20.055452865064698,4.076639308331078,-24.05618964003512,72.68394,1,1,1,1,0,1,1,0,0,1,1,1,1,1
"Business Outlook Unusually Bright, Says Gary, Steel Head;",general_business,improve,na,na,vague,assertive,expert,Gary,national,True,na,/service/ndnp/dlc/batch_dlc_antelope_ver01/data/ca06001655/00543171670/1920102901/0786.xml,1920-10-29,"the indian leader (lawrence, kan.) 1897-????",full_page,improve,worsen,INDPRO,0.0,True,,12.0,default,-5.7428170365500435,0.0,-5.7428170365500435,,14.689265536723171,-6.484137331594958,,,-14.680744092508807,-25.504828797190523,3.8592390246660315,-25.504828797190523,97.17714,1,1,1,1,0,1,1,0,0,1,1,1,1,1
Return of Prosperity Is Predicted.,general_business,improve,na,na,vague,assertive,journalist,William C. Redfield,national,True,na,/service/ndnp/sdhi/batch_sdhi_hawk_ver01/data/sn2001063112/00415624736/1914022601/0696.xml,1914-02-26,"the mitchell capital (mitchell, dakota [s.d.]) 1879-1918",full_page,improve,worsen,NBER,0.0,True,,12.0,default,,,,,,,,,,,,,99.66337,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"The tendency is clearly and openly in the direction of a reduction in the cost, of food and clothing through the removal of the tariff tax.",prices,improve,down,na,vague,assertive,official,William C. Redfield,national,True,na,/service/ndnp/sdhi/batch_sdhi_hawk_ver01/data/sn2001063112/00415624736/1914022601/0696.xml,1914-02-26,"the mitchell capital (mitchell, dakota [s.d.]) 1879-1918",full_page,down,flat,CPI,0.0,True,,12.0,default,,,,,,,,,,,,,99.66337,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"The next few years will witness an era of new hotel construction, because of the fact that now a man can live in a hotel with his family and feel that the surrounding influences conform to his highest ideals.",general_business,improve,na,na,vague,assertive,expert,S. W. Straus,national,True,na,/service/ndnp/iune/batch_iune_bismuth_ver01/data/sn2008060406/00332898176/1920073001/0400.xml,1920-07-30,"the american issue (westerville, ohio) 1912-19??",full_page,improve,worsen,INDPRO,0.0,True,,12.0,default,5.8509797724399455,15.699017596890858,-9.848037824450913,,21.893491124260375,0.8092115784423441,,,-14.353163361661947,-17.31996353691887,4.567430142160703,-20.36874451273047,83.86132,1,1,1,1,0,1,1,0,0,1,1,1,1,1
He forecast a huge loss in 1946 through preventable mishaps.,general_business,worsen,na,na,12,assertive,expert,Ned H. Dearborn,national,True,na,/service/ndnp/ohi/batch_ohi_jasmine_ver01/data/sn78000533/00340580345/1945122701/0386.xml,1945-12-27,"the potters herald (east liverpool, ohio) 1899-1982",full_page,worsen,improve,INDPRO,0.0,True,,12.0,stated,-27.2423370323359,-30.757086472909947,3.5147494405740467,-25.45932452669524,2.2598870056497296,1.1108995112042108,,,15.413218183999033,28.361792956243338,2.4319396513353806,0.0,138.8721,0,1,1,1,1,1,1,0,0,1,1,1,1,1
Unless the price control act is renewed there will be no limit to which our price levels wopld soar.,prices,worsen,up,na,vague,assertive,official,Harry S. Truman,national,True,price control act is not renewed,/service/ndnp/ohi/batch_ohi_jasmine_ver01/data/sn78000533/00340580345/1946032101/0457.xml,1946-03-21,"the potters herald (east liverpool, ohio) 1899-1982",full_page,up,up,CPI,1.0,True,,12.0,default,-22.951052546133454,-30.427745099835697,7.476692553702243,-25.881074468362005,2.247191011235947,-1.1422186355453627,,,9.398200224971866,23.97068196303377,2.49733834849281,-1.8221280032303724,150.9992,0,1,1,1,1,1,1,0,0,1,1,1,1,1
"The average American will eat at least 8% more in 1946 tlupi before the war, while the rest of the world will average 12% less.",other,improve,na,na,12,assertive,journalist,na,national,False,na,/service/ndnp/ohi/batch_ohi_jasmine_ver01/data/sn78000533/00340580345/1946032101/0457.xml,1946-03-21,"the potters herald (east liverpool, ohio) 1899-1982",full_page,improve,improve,INDPRO,1.0,True,,12.0,stated,-22.951052546133454,-30.427745099835697,7.476692553702243,-25.881074468362005,2.247191011235947,-1.1422186355453627,,,9.398200224971866,23.97068196303377,2.49733834849281,-1.8221280032303724,150.9992,0,1,1,1,1,1,1,0,0,1,1,1,1,1
"The average American will get ab- ut 3,360 calories daily compared with 3,320 in 1945",other,improve,na,na,12,assertive,journalist,na,national,False,na,/service/ndnp/ohi/batch_ohi_jasmine_ver01/data/sn78000533/00340580345/1946032101/0457.xml,1946-03-21,"the potters herald (east liverpool, ohio) 1899-1982",full_page,improve,improve,INDPRO,1.0,True,,12.0,stated,-22.951052546133454,-30.427745099835697,7.476692553702243,-25.881074468362005,2.247191011235947,-1.1422186355453627,,,9.398200224971866,23.97068196303377,2.49733834849281,-1.8221280032303724,150.9992,0,1,1,1,1,1,1,0,0,1,1,1,1,1
In the absence of a firm federal drive to do so their prices are sure to go up.,prices,worsen,up,na,vague,assertive,journalist,na,national,False,absence of a firm federal drive,/service/ndnp/ohi/batch_ohi_jasmine_ver01/data/sn78000533/00340580357/1948070101/0165.xml,1948-07-01,"the potters herald (east liverpool, ohio) 1899-1982",full_page,up,down,CPI,0.0,True,,12.0,default,1.894117895299517,5.0780088344733105,-3.1838909391737937,8.84136182520493,9.132420091324201,-2.2060131649173,3.5,,5.84861734143432,1.6633944153577567,3.126555167295638,-7.438303788668748,88.04681,0,1,1,1,1,1,1,1,0,1,1,1,1,1
"If they continue to mount
in the already hard-cut textile, ap
parel and appliance industries, the
experts say we’re in for trouble.",general_business,worsen,na,up,vague,assertive,expert,na,national,True,layoffs continue to mount,/service/ndnp/ohi/batch_ohi_jasmine_ver01/data/sn78000533/00340580357/1949020301/0356.xml,1949-02-03,"the potters herald (east liverpool, ohio) 1899-1982",full_page,worsen,flat,INDPRO,0.0,True,,12.0,default,-2.568907362611147,0.18848622438970583,-2.757393587000853,5.8052814593741076,2.991452991453004,-2.991452991453004,4.0,0.3999999999999999,-3.1415343915343854,3.206483439041583,2.091131662995526,-7.762557077625566,97.86217,1,1,1,1,1,1,1,1,1,1,1,1,1,1
